% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.817093392e+01 +1.817093392e+01 +2.504093392e+01 +2.504093392e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.354347668e+01 +1.354347668e+01 +2.041347668e+01 +2.041347668e+01 +1.5775e+00 -7.7433e-01 -1.5350e-01 -6.0989e-01 -8.9358e-01 -1.1986e+00 +1.8756e+00 +7.8806e-01 +2.1054e+00 +5.5559e-01 -9.6449e-01 +1.7746e+00 -7.9896e-01 +5.6357e-01 +4.0856e-01 +4.7235e-01 -1.5751e+00 -1.5424e+00 -1.1927e+00 -1.0318e+00
4 +1.157130289e+01 +1.157130289e+01 +1.844130289e+01 +1.844130289e+01 +8.0972e-01 -1.9251e+00 +8.9998e-01 +1.9017e+00 +5.8372e-01 -3.2381e-01 +3.2828e-01 +4.7487e-01 -1.0897e+00 -7.3264e-01 -9.9183e-01 +2.0277e+00 +1.2472e+00 -2.9706e-01 +1.9560e+00 -2.2101e+00 -1.5835e-01 +6.7847e-01 -3.0756e+00 +4.2141e-01
9 +9.274472897e+00 +9.274472897e+00 +1.614447290e+01 +1.614447290e+01 -9.6004e-01 +2.7148e+00 -1.2686e+00 -9.4441e-01 -4.6658e-01 -2.3190e-01 -5.9475e-02 +2.1534e-01 -1.5030e+00 +2.9780e-01 +8.6958e-01 +1.5797e+00 -1.8525e+00 -6.4132e-01 +6.6942e-01 +1.7623e+00 +1.1898e+00 -1.0237e+00 -1.4175e+00 +9.1195e-01
15 +5.094258533e+00 +5.094258533e+00 +1.196425853e+01 +1.196425853e+01 -2.1598e-01 +2.1332e+00 -2.3203e+00 -1.3094e+00 +1.3339e-02 -6.8302e-01 -9.3005e-01 +1.5952e+00 -1.5347e+00 +4.2908e-01 -7.4855e-01 +1.3657e+00 -2.2875e+00 -5.8944e-01 +1.5889e-02 +2.4404e+00 +3.4511e+00 -2.0535e+00 -1.5199e+00 +1.6038e+00
161 +4.723859659e+00 +4.723859659e+00 +1.159385966e+01 +1.159385966e+01 -2.9336e+00 +3.2118e+00 -3.3096e+00 +3.0412e+00 -2.1454e-01 +2.0609e-01 -5.7613e+00 +5.1867e-01 -3.2410e+00 -2.4535e+00 -1.5254e+00 +2.9370e-01 -1.7266e+00 +3.1544e+00 -3.5252e+00 -1.1675e+00 +2.2582e+00 +1.0088e+00 -9.2436e-01 +3.4218e+00
754 +4.222292578e+00 +4.222292578e+00 +1.109229258e+01 +1.109229258e+01 -7.2970e-01 -2.5058e+00 -7.5254e-01 +4.0979e+00 +6.0230e-01 +2.0942e+00 -2.0968e+00 -4.2154e+00 +9.2493e-01 +2.6733e+00 -3.6366e+00 +3.6789e+00 -1.5657e+00 +5.1382e-01 +1.4166e+00 +7.6681e-01 -4.3121e+00 +7.8500e-01 +2.3324e+00 +4.8960e+00
843 +3.545138827e+00 +3.545138827e+00 +1.041513883e+01 +1.041513883e+01 +2.5854e-01 -2.6857e-02 -2.6248e+00 +4.6025e+00 +1.0740e+00 +2.7543e+00 -8.3555e-01 -2.1937e+00 +3.3293e+00 +5.2049e+00 -1.9603e+00 +5.2357e+00 -2.6246e-02 -9.9129e-01 +5.3532e+00 -2.5082e+00 -1.9332e+00 -2.4133e+00 +2.1879e+00 +1.5403e+00
3345 +2.976584185e+00 +2.976584185e+00 +9.846584185e+00 +9.846584185e+00 +8.0873e-02 +3.6550e+00 -2.1919e+00 -3.4741e+00 -5.1507e+00 +4.7430e+00 -3.9141e+00 -3.5445e+00 -2.7606e+00 -1.0308e-01 -1.8992e+00 +4.0548e+00 +2.0982e+00 +3.6310e+00 +1.3756e+00 -2.7089e+00 -5.2276e+00 +2.9645e+00 +3.8622e+00 -1.1463e+00
81142 +2.758385718e+00 +2.758385718e+00 +9.628385718e+00 +9.628385718e+00 -3.0468e+00 -2.5006e+00 +2.8876e+00 -1.0010e+00 -1.2396e+00 +2.9193e+00 -2.0924e+00 +2.0318e+00 -5.2828e+00 -5.3777e-01 -1.2614e+00 -2.8533e+00 -5.5000e+00 +4.7951e+00 +2.3812e+00 +4.8763e+00 +2.2225e+00 +4.7381e+00 -4.9847e+00 -4.5844e+00
