% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +1.145758873e+02 +1.145758873e+02 +9.763588734e+01 +9.763588734e+01 +1.3965e+00 +8.3769e-01 -6.3287e-01 +1.5288e-01 +7.4470e-01 +6.5754e-01 +1.3414e+00 -1.1829e-01 -9.0410e-02 -1.5786e+00 +4.4288e-01 -1.8078e-01 +1.6267e-01 +1.9202e+00 +1.6199e-01 -1.0630e+00 -1.5607e-01 +2.5179e-01 +1.4206e+00 +1.8831e+00
12 +7.323005307e+01 +7.323005307e+01 +5.629005307e+01 +5.629005307e+01 +2.8586e+00 +1.0974e+00 -1.6429e+00 +5.1926e-01 +2.6712e+00 -1.0469e+00 +2.4046e+00 +3.1511e-01 +1.7244e-01 -2.2490e+00 +1.5100e+00 +3.5941e-01 -9.0190e-01 +2.4335e+00 -1.0015e+00 -1.6973e+00 +1.2751e+00 +4.2795e-01 +1.0845e+00 +1.9411e+00
23 +4.132886759e+01 +4.132886759e+01 +2.438886759e+01 +2.438886759e+01 +4.1017e+00 +1.0225e+00 -2.3338e+00 +3.0758e-01 +1.9453e+00 +1.1706e+00 +2.3033e+00 -1.5162e+00 -5.7926e-01 -1.5877e+00 +9.2336e-01 +1.2496e+00 -1.6142e-01 +8.1756e-01 -8.4846e-01 -4.6236e-01 +3.2555e+00 -4.0392e-01 -6.9780e-01 +4.7433e+00
44 +3.267478214e+01 +3.267478214e+01 +1.573478214e+01 +1.573478214e+01 +5.1973e+00 +1.2769e+00 -2.2701e+00 -1.9706e+00 +1.5640e+00 +1.4096e+00 +3.4525e+00 -4.8595e+00 -2.3140e+00 -1.1149e+00 +3.8738e+00 +1.3763e+00 -1.8852e+00 +3.4748e-01 -9.0322e-01 +2.5976e+00 +1.9672e+00 -3.1650e+00 -7.6051e-01 +3.3015e+00
117 +3.006254412e+01 +3.006254412e+01 +1.312254412e+01 +1.312254412e+01 +4.8207e+00 +5.6717e+00 -3.8123e+00 +1.4256e+00 -1.4587e+00 -9.6447e-01 +6.6230e-01 -4.0709e+00 -2.0884e+00 -1.2203e+00 +4.9801e+00 +1.7717e-01 -3.3161e+00 -1.0876e+00 +8.8576e-01 +5.0003e+00 +2.7974e+00 -1.2597e-01 -1.0761e+00 +2.5679e+00
231 +2.591116443e+01 +2.591116443e+01 +8.971164425e+00 +8.971164425e+00 +3.7164e+00 +4.0557e+00 -4.2353e+00 +5.1979e-01 +1.8454e+00 -1.1857e+00 -4.5154e-01 -1.6905e+00 +1.3487e-01 -2.0364e+00 +5.7938e-01 +2.9483e+00 +6.9705e-01 +6.4160e-01 +9.5119e-01 +3.9446e+00 +4.1731e+00 +9.6972e-01 +4.1533e-01 +3.9342e+00
239 +2.276646398e+01 +2.276646398e+01 +5.826463976e+00 +5.826463976e+00 +3.4487e+00 +4.3350e+00 -2.5374e+00 -1.3843e-02 +2.3850e+00 -2.2534e+00 -3.6431e-01 -2.6973e+00 +1.5791e-01 -2.0018e+00 +1.6277e+00 +1.6816e+00 -1.6398e+00 +1.7297e-01 +1.3355e+00 +3.8458e+00 +3.7181e+00 -8.0414e-02 +8.8417e-01 +3.0689e+00
384 +1.668542674e+01 +1.668542674e+01 -2.545732630e-01 -2.545732630e-01 +6.8634e-01 +1.0519e+00 +7.3468e-01 -5.1332e-01 +2.6956e+00 -1.0004e+00 +1.9631e+00 -2.3663e-01 -4.4980e-01 -1.0295e+00 +3.7139e+00 -1.3390e+00 -2.5178e+00 -4.3304e-01 +3.9471e+00 +4.8106e+00 +4.7352e+00 -5.0178e-01 -1.4641e+00 +1.5372e+00
436 +1.616747227e+01 +1.616747227e+01 -7.725277312e-01 -7.725277312e-01 +1.0907e+00 +1.2862e+00 -2.5902e-01 -1.2372e-01 +1.0093e+00 -1.0667e+00 +3.5862e+00 -1.5150e+00 -1.9178e+00 -6.0408e-01 +3.4980e+00 +4.1861e-01 -1.2177e+00 -9.9773e-01 +3.2297e+00 +4.4064e+00 +4.6905e+00 -7.9302e-01 -1.5830e+00 +2.3448e+00
1676 +1.567915638e+01 +1.567915638e+01 -1.260843620e+00 -1.260843620e+00 +2.4343e+00 +1.2345e+00 +7.8648e-01 -2.7945e-01 +1.4022e+00 -7.1526e-01 +4.2281e+00 -1.4680e+00 -8.6292e-01 -1.4894e+00 +4.0935e+00 -2.3591e+00 -4.2003e+00 -2.4285e+00 +4.0490e+00 +1.5548e+00 +3.8965e+00 -1.4530e+00 -1.0714e+00 +1.5420e+00
1692 +1.514297067e+01 +1.514297067e+01 -1.797029331e+00 -1.797029331e+00 +1.7487e+00 +1.2198e+00 -1.6865e-02 +1.7847e-01 +1.6657e+00 -1.7794e+00 +3.7646e+00 -2.0945e+00 -1.7751e+00 -1.8740e+00 +2.2821e+00 -1.9855e+00 -3.5035e+00 -1.6475e+00 +3.8942e+00 +2.5066e+00 +4.0079e+00 -8.0677e-01 -1.1816e+00 +1.4013e+00
2165 +1.493350653e+01 +1.493350653e+01 -2.006493474e+00 -2.006493474e+00 +3.4907e+00 +3.7990e+00 -1.9361e+00 -1.5840e+00 +1.7232e+00 +3.9066e-01 +3.6724e+00 -1.6415e+00 -1.2951e+00 -2.6750e+00 +1.3758e+00 -2.7747e-01 -2.2717e+00 -2.5886e+00 +2.7304e+00 +2.2984e+00 +3.8315e+00 -1.8921e+00 -2.7867e-01 +2.4591e+00
2194 +1.423641372e+01 +1.423641372e+01 -2.703586277e+00 -2.703586277e+00 +2.4991e+00 +1.1767e+00 -1.5662e+00 -6.4405e-01 +2.2441e+00 +2.1525e-01 +3.5545e+00 -1.3071e+00 -1.4939e+00 -1.3634e+00 +1.3658e+00 -6.1370e-01 -1.2110e+00 -2.2457e+00 +1.7300e+00 +2.6256e+00 +4.2448e+00 -1.4548e+00 -9.8208e-01 +3.6437e+00
2876 +1.215217762e+01 +1.215217762e+01 -4.787822378e+00 -4.787822378e+00 +3.8132e+00 +6.0219e-01 -6.4315e-01 +8.4200e-01 +1.7175e+00 -1.8049e+00 +3.3630e+00 -6.5098e-01 +6.1312e-01 -2.0641e+00 +3.3703e+00 -1.3487e-02 -3.5097e+00 -1.2369e+00 +2.8804e+00 +2.3012e+00 +3.8720e+00 +7.7429e-01 +1.3660e+00 +2.5308e+00
3047 +1.027668658e+01 +1.027668658e+01 -6.663313424e+00 -6.663313424e+00 +3.7888e+00 +1.1266e+00 -8.8314e-01 +2.9000e+00 +1.3837e+00 -1.8483e+00 +2.8007e+00 -2.3106e+00 +8.8838e-03 -2.9527e+00 +1.7966e+00 +5.9312e-01 -3.9830e+00 -2.7637e+00 +1.7874e+00 +3.9593e+00 +3.8453e+00 -1.2726e+00 -1.4169e-01 +1.6412e+00
3729 +8.853266702e+00 +8.853266702e+00 -8.086733298e+00 -8.086733298e+00 +4.1679e+00 +2.3421e+00 -3.3452e-01 +2.3591e-01 +2.3673e+00 -3.6090e+00 +3.3760e+00 -1.2012e+00 -1.9073e-01 -3.0325e+00 +3.7272e+00 -3.6897e-01 -4.4207e+00 -1.9214e-01 +4.3733e+00 +4.9665e+00 +4.6317e+00 -9.5449e-01 +8.4828e-02 +2.0880e+00
5787 +8.287719659e+00 +8.287719659e+00 -8.652280341e+00 -8.652280341e+00 +3.4211e+00 +2.4273e+00 -1.9798e+00 +2.3233e-01 +2.3811e+00 -2.2445e+00 +4.1103e+00 +4.7274e-01 -7.1940e-01 -3.2595e+00 +4.0345e+00 -2.0134e+00 -1.6225e+00 +4.1049e-01 +3.9696e+00 +4.5005e+00 +4.3379e+00 -2.7795e+00 -5.6222e-01 +3.0548e+00
8010 +7.761772074e+00 +7.761772074e+00 -9.178227926e+00 -9.178227926e+00 +3.7708e+00 +2.2882e+00 -7.4435e-01 +1.1685e+00 +2.8667e+00 -1.0978e+00 +4.5710e+00 +5.1119e-01 +1.4965e+00 -3.4957e+00 +3.7840e+00 -1.5299e+00 -1.4045e+00 -2.4305e-01 +4.0899e+00 +3.9574e+00 +4.4053e+00 -1.9609e+00 +2.8231e-01 +2.9088e+00
