% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 +8.437081345e+01 +8.437081345e+01 +1.638508135e+02 +1.638508135e+02 -1.9312e+00 +7.7492e-01 +6.4389e-01 +1.7370e+00 +7.7592e-01 +5.3215e-01 -2.1850e+00 -1.6044e+00 -1.9048e+00 -1.0854e+00 -7.2041e-01 +1.1054e+00 -7.2798e-01 -9.2322e-01 +1.8667e+00 -8.1176e-01 +4.8615e-01 -3.6122e-01 +8.7139e-01 -6.0356e-01
18 +7.779534559e+01 +7.779534559e+01 +1.572753456e+02 +1.572753456e+02 -3.9079e-01 +2.7351e-01 +6.4410e-01 +1.8099e+00 +8.0537e-01 +1.7875e+00 -2.7494e+00 -7.9313e-02 -1.8237e+00 -1.3232e+00 -1.0626e+00 +2.8281e-01 -4.3860e-01 -2.1458e-01 +1.8726e+00 -6.4533e-01 +1.2746e+00 -4.6604e-01 +2.8828e-01 -1.6670e-01
27 +7.566486742e+01 +7.566486742e+01 +1.551448674e+02 +1.551448674e+02 -4.4992e-01 +8.1459e-01 +3.7136e-01 +1.4898e+00 -4.8959e-01 +9.2079e-01 -3.8363e+00 -1.0646e+00 -1.8815e+00 -1.6718e+00 -4.5051e-01 -3.6143e-01 +1.0036e-01 -3.8806e-01 +2.1700e+00 -8.6003e-03 +1.9990e+00 -1.0712e+00 +3.4983e-01 -3.7667e-02
31 +6.557620302e+01 +6.557620302e+01 +1.450562030e+02 +1.450562030e+02 +2.3466e-01 +1.4957e-01 -3.7232e-01 +1.6038e+00 -8.7886e-02 +3.4676e+00 -3.7887e+00 -7.4176e-02 -3.2281e+00 -2.5828e+00 -1.7522e+00 +5.1896e-01 +1.6008e+00 -3.8585e-01 +2.3320e+00 +2.6002e-01 +6.3226e-01 -1.3733e+00 -4.0517e-01 +3.7809e-01
39 +6.358755826e+01 +6.358755826e+01 +1.430675583e+02 +1.430675583e+02 -2.4143e-01 -1.8946e+00 -8.2810e-01 +1.0674e+00 +1.5777e-01 +3.8468e+00 -2.7869e+00 -2.7247e-01 -2.8235e+00 -2.1331e+00 -2.0757e+00 +4.9031e-01 +2.0911e+00 -4.1242e-01 +2.2114e+00 +4.0607e-01 +7.5763e-01 -1.3546e+00 -4.8902e-01 -1.8694e-01
44 +6.144125890e+01 +6.144125890e+01 +1.409212589e+02 +1.409212589e+02 -1.1779e+00 -2.2521e+00 +1.1681e-02 +4.0260e-01 -1.6031e+00 +3.1068e+00 -3.4067e+00 -5.5605e-01 -3.4769e+00 -2.4486e+00 -2.9861e+00 +4.7018e-01 +1.1205e+00 -1.9139e+00 +2.9405e+00 -9.2708e-02 +3.7687e-01 -1.6851e+00 -3.1368e-01 -5.3685e-01
46 +5.526147516e+01 +5.526147516e+01 +1.347414752e+02 +1.347414752e+02 +4.7148e-01 -1.0790e+00 +3.0073e-01 +2.1570e+00 +9.1836e-01 +2.2392e+00 -1.7954e+00 -4.0040e-01 -3.3873e+00 -2.5382e+00 -2.2486e+00 +1.1822e+00 +1.6500e+00 -5.6040e-01 +1.9109e+00 +6.9291e-02 +3.4633e-01 -1.9116e+00 -1.1473e+00 +1.3392e+00
56 +4.731258868e+01 +4.731258868e+01 +1.267925887e+02 +1.267925887e+02 -2.0130e-02 -1.3945e+00 -3.4494e-01 +1.6139e+00 +3.5309e-01 +1.0570e+00 -1.1890e+00 -4.4306e-01 -1.9216e+00 -1.7668e+00 -4.2531e+00 +2.1947e+00 +3.6551e+00 +2.0039e-01 +2.4011e+00 +1.1256e+00 -1.5372e+00 -1.7236e+00 -1.5834e+00 +1.7163e+00
65 +4.416407419e+01 +4.416407419e+01 +1.236440742e+02 +1.236440742e+02 +1.2363e+00 -3.3027e+00 +2.2713e-01 +1.6829e+00 -8.2526e-01 +1.2534e+00 -1.4908e+00 -5.3986e-01 -2.2899e+00 -1.1342e+00 -4.7418e+00 +1.5982e+00 +2.3818e+00 +6.3427e-01 +2.7049e+00 +1.9235e+00 -7.3241e-01 -2.1041e+00 -1.7828e+00 +2.4537e+00
