% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.128259773e+05 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +3.101001965e+05 +3.101001965e+05 +3.101764665e+05 +3.101764665e+05 +4.8864e-01 -9.9900e-01 +3.9789e-02 +9.6015e-01 +2.4766e+00 +8.8299e-01 -3.5541e+00 +1.1866e+00 -1.5141e+00 -1.4607e+00 +1.7362e+00 -3.6349e-01 -4.7221e-01 +1.1864e+00 +1.7897e+00 +6.9266e-01 +4.5875e-01 -1.0863e+00 -3.4222e-01 +4.7003e-01
8 +3.917476601e+04 +3.917476601e+04 +3.925103601e+04 +3.925103601e+04 -4.7696e-01 -1.0749e-02 +8.3721e-02 -1.0566e+00 -1.7828e-01 -7.7240e-02 +1.5246e+00 +8.8600e-01 +1.5221e-01 -4.6495e-01 +4.8293e-01 +8.2582e-01 +6.6636e-01 -4.4791e-01 -1.6985e-01 +3.8775e-01 +1.9448e-01 +2.4304e-01 +1.5753e+00 +4.3732e-01
9 +1.601117242e+02 +1.601117242e+02 +2.363817242e+02 +2.363817242e+02 +8.7768e-01 +2.4917e-02 -2.2457e+00 +1.0314e+00 +2.5012e+00 +9.4488e-01 -1.6011e+00 +2.8304e+00 -4.4895e-01 +2.4020e-01 +4.4585e-01 -5.2083e-01 -4.9714e-01 +1.9822e+00 +2.6176e-01 +1.7659e+00 -5.2111e-01 -8.0756e-02 -1.9478e+00 -1.4501e+00
1104237 +1.583867266e+02 +1.583867266e+02 +2.346567266e+02 +2.346567266e+02 -5.0032e-01 -1.8011e+00 +3.6391e+00 -2.7277e+00 -1.4642e+00 -3.0816e+00 -1.7370e+00 +2.5081e+00 -2.0242e+00 +2.3653e+00 +8.0498e+00 -4.7779e+00 +5.4167e+00 +2.1443e+00 -5.5227e+00 -1.6868e+00 +2.4874e+00 -4.2096e+00 +1.3518e+00 +3.0507e-01
1107458 +1.548677452e+02 +1.548677452e+02 +2.311377452e+02 +2.311377452e+02 -4.6442e-01 -1.8028e+00 +3.6397e+00 -2.6809e+00 -1.4650e+00 -3.0765e+00 -1.7557e+00 +2.2227e+00 -1.7016e+00 +2.3359e+00 +7.6778e+00 -4.7744e+00 +5.4151e+00 +2.1660e+00 -5.4962e+00 -1.6867e+00 +2.4843e+00 -4.1609e+00 +1.3663e+00 +2.7548e-01
1111576 +1.513471404e+02 +1.513471404e+02 +2.276171404e+02 +2.276171404e+02 -4.4600e-01 -1.8066e+00 +3.6395e+00 -2.6656e+00 -1.4651e+00 -3.0770e+00 -1.7249e+00 +1.6440e+00 -1.4136e+00 +2.2933e+00 +7.4266e+00 -4.7745e+00 +5.4152e+00 +2.1774e+00 -5.4915e+00 -1.6590e+00 +2.6026e+00 -3.7841e+00 +1.3593e+00 +2.4442e-01
1115679 +1.479104236e+02 +1.479104236e+02 +2.241804236e+02 +2.241804236e+02 -5.6404e-01 -1.8070e+00 +3.6397e+00 -2.6913e+00 -1.4641e+00 -3.0774e+00 -1.7400e+00 +1.1309e+00 -1.0717e+00 +2.2714e+00 +7.1402e+00 -4.7777e+00 +5.4139e+00 +2.1778e+00 -5.4609e+00 -1.6453e+00 +2.5143e+00 -3.6171e+00 +1.3492e+00 +2.6819e-01
1117615 +1.445195682e+02 +1.445195682e+02 +2.207895682e+02 +2.207895682e+02 -7.1798e-01 -1.8085e+00 +3.6396e+00 -2.6272e+00 -1.4655e+00 -3.0800e+00 -1.7322e+00 +6.8243e-01 -5.9086e-01 +2.2554e+00 +6.8795e+00 -4.7785e+00 +5.4146e+00 +2.1769e+00 -5.4611e+00 -1.6608e+00 +2.3483e+00 -3.3664e+00 +1.3420e+00 +2.6716e-01
1122017 +1.412386989e+02 +1.412386989e+02 +2.175086989e+02 +2.175086989e+02 -7.2853e-01 -1.8083e+00 +3.6396e+00 -2.6419e+00 -1.4625e+00 -3.0821e+00 -1.7630e+00 +5.4110e-01 -2.1816e-01 +2.2545e+00 +6.3832e+00 -4.7774e+00 +5.4153e+00 +2.1751e+00 -5.4551e+00 -1.6469e+00 +2.2976e+00 -3.5492e+00 +1.3398e+00 +2.4180e-01
1129737 +1.380147017e+02 +1.380147017e+02 +2.142847017e+02 +2.142847017e+02 -6.8399e-01 -1.8084e+00 +3.6396e+00 -2.6990e+00 -1.4643e+00 -3.0788e+00 -1.7691e+00 +8.5999e-01 +2.7314e-01 +2.2527e+00 +5.6601e+00 -4.7781e+00 +5.4154e+00 +2.1761e+00 -5.4566e+00 -1.6411e+00 +2.2878e+00 -3.5670e+00 +1.3444e+00 +3.3477e-01
1137216 +1.348949600e+02 +1.348949600e+02 +2.111649600e+02 +2.111649600e+02 -6.9877e-01 -1.8120e+00 +3.6396e+00 -2.6072e+00 -1.4634e+00 -3.0836e+00 -1.7880e+00 +1.3162e+00 +8.9245e-01 +2.2446e+00 +5.1349e+00 -4.7772e+00 +5.4146e+00 +2.1761e+00 -5.4494e+00 -1.6225e+00 +2.2786e+00 -3.5825e+00 +1.3516e+00 +2.9843e-01
1159848 +1.318069088e+02 +1.318069088e+02 +2.080769088e+02 +2.080769088e+02 -7.7430e-01 -1.8148e+00 +3.6395e+00 -2.3844e+00 -1.4636e+00 -3.0548e+00 -1.8184e+00 +1.2643e+00 +8.8953e-01 +2.2248e+00 +5.1070e+00 -4.6304e+00 +5.4144e+00 +2.1763e+00 -5.4501e+00 -1.5579e+00 +2.3227e+00 -3.2759e+00 +1.3482e+00 +2.8668e-01
1170195 +1.288221077e+02 +1.288221077e+02 +2.050921077e+02 +2.050921077e+02 -8.0560e-01 -1.8152e+00 +3.6393e+00 -2.3755e+00 -1.4634e+00 -3.0450e+00 -1.8143e+00 +1.3485e+00 +3.2512e-01 +2.2237e+00 +5.0575e+00 -4.3495e+00 +5.4145e+00 +2.1767e+00 -5.4471e+00 -1.5407e+00 +2.3102e+00 -3.0088e+00 +1.3476e+00 +2.9300e-01
1184904 +1.258696343e+02 +1.258696343e+02 +2.021396343e+02 +2.021396343e+02 -8.3704e-01 -1.8144e+00 +3.6395e+00 -2.2268e+00 -1.4633e+00 -3.0458e+00 -1.8207e+00 +1.2542e+00 +2.3320e-01 +2.2236e+00 +4.7429e+00 -4.0986e+00 +5.4146e+00 +2.1769e+00 -5.4332e+00 -1.2422e+00 +2.2508e+00 -2.9946e+00 +1.3473e+00 +2.6272e-01
