% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.605689310e+04 +2.605689310e+04 +2.620604310e+04 +2.620604310e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
18 +1.873540845e+04 +1.873540845e+04 +1.888455845e+04 +1.888455845e+04 -2.5083e+00 -1.3861e+00 -1.0522e+00 +1.4958e+00 -1.7205e+00 -2.3214e+00 -3.3446e+00 -7.6055e-01 +9.2853e-01 +2.3246e+00 -9.1661e-01 +1.2765e+00 +1.0881e+00 -1.0665e+00 -3.3066e-01 +9.7157e-01 -1.1015e-01 -5.4839e-01 +2.6449e-01 -2.8352e+00
31 +1.408576221e+04 +1.408576221e+04 +1.423491221e+04 +1.423491221e+04 -1.9302e+00 -1.1860e+00 -9.9230e-01 +2.0190e+00 -3.1373e+00 -1.2685e+00 -3.8040e+00 -5.0525e-01 -5.1863e-01 +8.5971e-01 +3.6802e-03 +7.3208e-01 +1.0511e+00 +3.9858e-03 +5.7720e-01 +1.4306e+00 +5.4880e-03 +3.2154e-01 -1.3363e+00 -5.1558e+00
264 +9.614785674e+03 +9.614785674e+03 +9.763935674e+03 +9.763935674e+03 +1.3048e+00 -4.9873e-01 -1.0666e+00 -4.2815e-01 -3.8259e+00 -1.4587e+00 -1.8661e+00 -5.9559e-01 +1.0608e+00 -8.0986e-01 -1.6726e+00 -9.7219e-01 +5.0543e-01 -2.6989e+00 -1.6204e+00 -3.8178e+00 -1.2154e-01 +8.0565e-01 -2.0299e+00 -5.0068e+00
273 +9.415162484e+03 +9.415162484e+03 +9.564312484e+03 +9.564312484e+03 -1.3203e-01 -3.0921e+00 -2.1121e+00 -4.6641e-01 -4.3344e+00 -7.0420e-01 -2.1948e+00 -1.0882e+00 +7.3087e-01 -2.7842e-01 -1.3130e+00 -5.2141e-01 +1.3498e+00 -2.3204e+00 +3.8636e-01 -1.4978e+00 -9.9091e-01 +1.2776e+00 -3.2649e+00 -4.9607e+00
275 +8.284370051e+03 +8.284370051e+03 +8.433520051e+03 +8.433520051e+03 +1.2177e+00 -8.9343e-01 -1.6579e+00 -1.1652e+00 -2.9756e+00 -1.6451e+00 -2.5993e+00 -6.3830e-01 +1.1693e+00 -3.5075e-01 -1.5338e+00 -1.3867e+00 +9.8978e-01 -2.4241e+00 -1.2295e+00 -2.5543e+00 +6.7632e-01 +1.1899e+00 -1.9593e+00 -5.2809e+00
278 +6.105786732e+03 +6.105786732e+03 +6.254936732e+03 +6.254936732e+03 +4.3998e-01 -2.0153e+00 -4.3702e-01 +6.4643e-01 -3.9087e+00 -2.4030e+00 -1.8485e+00 -4.8074e-01 -1.1893e-01 -1.9129e+00 -1.7101e+00 -5.0895e-01 +1.8339e+00 -1.9077e+00 -2.1439e+00 -3.8845e+00 -2.8544e-01 +7.1756e-01 -3.0278e+00 -5.3643e+00
571 +5.847123579e+03 +5.847123579e+03 +5.996273579e+03 +5.996273579e+03 -2.3876e+00 -3.0599e+00 +4.5927e-01 +9.4837e-01 -3.9942e+00 -1.0703e+00 -2.0181e+00 -2.7432e+00 +7.2028e-01 -6.1055e-01 -1.7573e+00 +9.4215e-01 +2.9657e+00 -2.6802e-01 +2.6908e-01 -3.6054e-01 +7.1874e-01 -3.2214e-01 -2.7335e+00 -7.4342e+00
574 +4.819400547e+03 +4.819400547e+03 +4.968550547e+03 +4.968550547e+03 -1.0739e+00 -2.5192e+00 +6.2185e-01 +8.3575e-01 -3.0914e+00 -2.1673e+00 -1.2181e+00 -2.7194e+00 +9.5746e-01 -7.5469e-01 -8.1175e-01 +4.7696e-02 +1.7028e+00 -8.2130e-01 -1.0072e+00 -2.2647e+00 +5.1607e-01 +5.1519e-01 -2.6438e+00 -5.9253e+00
660 +3.286112495e+03 +3.286112495e+03 +3.435262495e+03 +3.435262495e+03 -3.4863e-01 -1.8696e+00 -6.0166e-01 +2.0530e+00 -2.3103e+00 -1.9665e+00 -6.3297e-01 -3.4144e+00 -2.3051e-01 +5.5810e-01 -3.5819e+00 -7.4520e-01 +2.3712e+00 -8.1645e-02 -9.2031e-01 -2.4670e+00 -1.9062e-01 -4.5464e-01 -2.8027e+00 -6.0495e+00
