% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.773964217e+03 +1.773964217e+03 +1.803934217e+03 +1.803934217e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +1.662220636e+03 +1.662220636e+03 +1.692190636e+03 +1.692190636e+03 -1.6705e-01 +1.1802e+00 -8.4943e-01 +5.8139e-01 +1.5394e+00 -2.4650e-01 +1.3603e-01 -1.5254e+00 +1.5396e+00 -2.4979e-01 -6.6227e-02 -8.5546e-01 +1.4929e+00 +7.8458e-02 -3.2557e-01 +2.2698e+00 -2.8280e-01 -4.0938e+00 -1.9442e+00 -3.2473e-01
12 +1.637899734e+03 +1.637899734e+03 +1.667869734e+03 +1.667869734e+03 +3.3178e-01 +1.2008e+00 -1.1421e+00 +6.8479e-01 +1.9203e+00 +1.7579e-01 +1.1217e-01 -4.9178e-01 +8.1177e-01 -1.8052e+00 +3.5852e-01 -1.2948e+00 -4.2984e-01 +5.5570e-01 +1.6401e+00 +1.7366e+00 -1.1712e+00 -3.9382e+00 +1.5773e+00 -1.9851e+00
24 +1.493394555e+03 +1.493394555e+03 +1.523364555e+03 +1.523364555e+03 +2.2635e+00 -5.8948e-01 -1.9806e+00 -1.1730e+00 -1.6800e+00 +1.1358e+00 -1.0970e+00 -2.2857e+00 +1.6656e+00 -7.1019e-01 -1.2401e-01 +6.0939e-01 +2.1906e+00 -2.6190e-02 -7.8842e-01 +2.3575e+00 -7.7049e-01 -6.3965e+00 -1.3160e+00 +4.7542e-01
31 +1.401444287e+03 +1.401444287e+03 +1.431414287e+03 +1.431414287e+03 +2.8012e+00 +4.6525e-01 -2.5143e+00 +1.3561e+00 -9.3149e-02 +7.4375e-01 -7.4388e-01 -3.9254e-01 -8.3583e-01 +4.7354e-01 +8.6136e-01 -6.4981e-01 +3.1085e+00 +4.5519e-01 -1.4849e+00 +1.3855e+00 -2.2252e+00 -5.0985e+00 -3.7781e-01 -6.9395e-01
34 +1.264212817e+03 +1.264212817e+03 +1.294182817e+03 +1.294182817e+03 +2.3423e+00 -7.1427e-01 -1.1334e+00 +5.2558e-01 +7.3469e-01 +1.9542e+00 -4.5063e-01 -1.8951e+00 -9.3048e-02 -2.9111e-01 +1.7579e+00 -3.8124e-01 +2.4571e+00 +2.0746e+00 -2.1468e+00 +1.8373e+00 -1.6838e+00 -3.5218e+00 -1.1061e+00 +1.0725e+00
64 +1.231595256e+03 +1.231595256e+03 +1.261565256e+03 +1.261565256e+03 +1.3042e+00 -6.9699e-02 -1.4858e+00 +6.9216e-01 +1.4712e+00 +1.9426e+00 -4.1547e-02 -3.3848e+00 +6.3428e-01 +5.2535e-02 +2.6401e+00 -4.4250e-01 +5.4799e+00 +3.2995e+00 -4.1672e+00 +2.8375e+00 -1.7562e+00 -2.2228e+00 -3.1493e-02 -1.0450e+00
74 +1.110962972e+03 +1.110962972e+03 +1.140932972e+03 +1.140932972e+03 +1.8041e+00 -6.0434e-01 -1.1624e+00 +3.5521e-01 +1.5483e+00 +1.3755e+00 -1.2371e+00 -3.8574e+00 +4.7420e-01 +2.2303e-01 +2.0926e+00 -2.3958e+00 +5.0614e+00 +2.9798e+00 -3.5081e+00 +1.7477e+00 -1.5177e+00 -1.6343e+00 +2.8094e-03 -9.3925e-01
83 +1.089322342e+03 +1.089322342e+03 +1.119292342e+03 +1.119292342e+03 +2.2872e+00 -6.4886e-01 -1.4083e+00 +3.9129e-01 +1.3295e+00 +2.3717e+00 -1.0160e+00 -2.9228e+00 +1.1417e+00 -1.3504e-01 +1.3224e+00 -2.7107e+00 +4.1344e+00 +2.6384e+00 -3.4427e+00 +2.4634e+00 -1.9738e+00 -1.8814e+00 -7.2996e-01 -1.4129e-01
97 +1.064990162e+03 +1.064990162e+03 +1.094960162e+03 +1.094960162e+03 +2.6508e+00 -6.1764e-01 -2.5204e+00 -1.5177e-01 -3.7278e-01 +2.2625e+00 -2.6106e+00 -4.3526e+00 +2.9802e-01 -7.5044e-01 -2.2649e-01 -1.9744e+00 +4.2538e+00 +2.2763e+00 -2.7998e+00 +1.9073e+00 -1.8909e+00 -2.5863e+00 +4.3784e-01 -3.0691e-01
114 +1.028506849e+03 +1.028506849e+03 +1.058476849e+03 +1.058476849e+03 +3.7464e+00 +1.2703e-01 -2.3679e+00 -4.9558e-01 +8.0533e-01 +1.8518e+00 -3.2377e+00 -4.6739e+00 +1.1073e+00 -1.4963e+00 +4.6082e-01 -3.5617e+00 +3.3614e+00 +2.4430e+00 -2.2355e+00 +1.9673e+00 -1.2588e+00 -3.3197e-01 +9.3268e-01 -1.2787e+00
116 +8.581597682e+02 +8.581597682e+02 +8.881297682e+02 +8.881297682e+02 +2.8690e+00 -9.6293e-01 -2.8659e+00 -4.4099e-01 +7.9675e-01 +2.3571e+00 -3.6565e+00 -4.8894e+00 +4.4632e-05 -1.3330e+00 -5.5444e-01 -2.0128e+00 +2.8484e+00 +3.1065e+00 -2.1418e+00 +2.1985e+00 -2.1593e+00 -1.4662e+00 -2.4453e-02 -1.7751e+00
133 +8.305307430e+02 +8.305307430e+02 +8.605007430e+02 +8.605007430e+02 +1.5127e+00 -4.0813e-01 -3.4955e+00 +1.2908e-02 +1.1375e+00 +1.4707e+00 -4.6640e+00 -4.4856e+00 -1.6707e+00 -6.0176e-01 +5.3407e-02 -7.7562e-01 +2.6867e+00 +3.1808e+00 -6.8526e-01 +1.9453e+00 -2.2166e+00 +2.0640e-02 +1.1981e+00 -2.1148e+00
186 +8.109203072e+02 +8.109203072e+02 +8.408903072e+02 +8.408903072e+02 +1.3028e+00 +1.3599e+00 -2.2255e+00 -1.0303e+00 +2.4154e+00 +1.6460e+00 -4.4868e+00 -3.3705e+00 -1.9323e+00 -1.5768e+00 +6.5480e-02 -5.9171e-01 +2.5972e+00 +2.3168e+00 -6.0526e-01 +1.0841e+00 -3.0462e+00 -7.8800e-01 +5.7236e-01 -3.9145e+00
220 +7.842111381e+02 +7.842111381e+02 +8.141811381e+02 +8.141811381e+02 +1.4945e+00 -7.8323e-02 -2.4419e+00 -1.5490e+00 +1.8369e+00 +1.6977e+00 -4.3648e+00 -4.5800e+00 -1.7089e-01 -8.9321e-01 +3.7788e-02 -4.5437e-01 +1.9723e+00 +1.3160e+00 -7.4792e-02 +1.3302e+00 -1.7483e+00 +9.5614e-02 -3.9195e-01 -3.1891e+00
223 +7.339459736e+02 +7.339459736e+02 +7.639159736e+02 +7.639159736e+02 +2.9667e+00 +2.8073e-01 -3.2120e+00 -2.0979e+00 +1.4900e+00 +1.9926e+00 -3.8606e+00 -3.9668e+00 +1.2274e-01 -6.3335e-01 -6.3145e-01 -6.8957e-01 +2.5126e+00 +1.0918e+00 -6.7814e-02 +1.6245e+00 -2.4512e+00 -4.0157e-01 +1.2927e+00 -2.6233e+00
227 +7.030352448e+02 +7.030352448e+02 +7.330052448e+02 +7.330052448e+02 +1.0364e+00 +7.2304e-02 -3.0585e+00 -1.0709e+00 +1.2167e+00 +1.0933e+00 -4.4970e+00 -3.8952e+00 -6.2964e-01 -7.0372e-01 +5.5355e-01 -5.0677e-01 +2.2547e+00 +1.2226e+00 -3.8317e-01 +1.7486e+00 -1.7383e+00 +2.7311e-01 +3.1168e-01 -3.6345e+00
249 +6.086265557e+02 +6.086265557e+02 +6.385965557e+02 +6.385965557e+02 +1.0326e+00 +1.2896e-01 -2.6521e+00 -1.3346e+00 +1.5977e+00 +2.0603e+00 -3.9858e+00 -4.1919e+00 -7.1692e-01 -7.2983e-01 +7.3335e-01 -2.4105e-01 +2.4316e+00 +1.7784e+00 -8.0482e-01 +1.2957e+00 -2.0988e+00 +1.6754e-01 +1.2649e+00 -3.1916e+00
