% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.288577618e+08 +4.288577618e+08 +4.288571407e+08 +4.288571407e+08 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +9.293332878e+07 +9.293332878e+07 +9.293270767e+07 +9.293270767e+07 +2.2290e+00 +2.0810e+00 +6.6348e-01 -2.4018e+00 +2.7592e-01 -1.1447e+00 +1.4471e+00 +3.8667e-01 +1.4001e+00 +1.5708e+00 +1.2940e+00 +1.2017e-01 +4.1450e+00 +3.4308e+00 -1.4382e-01 -5.4426e-01 -8.1782e-02 -9.6575e-01 +1.8497e+00 +7.9810e-02
21 +7.134127711e+07 +7.134127711e+07 +7.134065600e+07 +7.134065600e+07 +1.7217e+00 +1.7525e+00 +1.9044e+00 -1.0171e+00 +7.0648e-02 -4.2459e-01 +1.1895e+00 +2.0643e+00 +9.4829e-01 +4.6047e-01 +1.5137e+00 +7.0885e-01 +2.0169e+00 +3.6438e+00 +4.7849e-01 -7.5032e-01 -6.5658e-01 +3.5120e-01 +1.3010e-01 -4.1783e-01
28 +5.842681041e+07 +5.842681041e+07 +5.842618930e+07 +5.842618930e+07 +1.4947e+00 +1.7193e+00 +8.4027e-01 -1.3070e+00 +1.5359e-01 +4.7765e-01 +1.4622e+00 +2.3834e+00 +8.0484e-01 -5.3597e-01 +3.4638e-01 +1.0835e+00 +2.9058e+00 +2.7302e+00 +2.6970e+00 -1.6257e+00 -1.6015e+00 +7.3198e-01 +8.7343e-01 -5.4011e-02
35 +5.648690429e+07 +5.648690429e+07 +5.648628318e+07 +5.648628318e+07 +7.5852e-01 +7.5140e-01 -3.1156e-01 -2.4345e+00 -4.5759e-01 +5.3834e-01 -3.5014e-01 +1.1856e+00 +8.2785e-01 -2.7274e-01 +2.1094e-01 +2.1029e+00 +3.1216e+00 +3.7556e+00 +2.3733e+00 -1.1668e+00 -1.2101e+00 +1.7776e+00 -4.7963e-01 -9.0819e-02
105 +2.895914983e+07 +2.895914983e+07 +2.895852872e+07 +2.895852872e+07 +9.8245e-01 +2.1412e+00 +1.6228e-02 -9.3852e-01 -2.0243e+00 -2.1597e+00 +1.7680e+00 -6.1097e-01 -6.3782e-01 -8.4541e-01 +6.0808e-01 +2.7110e+00 +3.8738e+00 +2.3690e+00 +1.2826e+00 -2.8600e+00 -6.3569e-02 +2.6415e+00 -1.1811e+00 +4.4955e-02
148 +2.704295087e+07 +2.704295087e+07 +2.704232976e+07 +2.704232976e+07 +6.5639e-01 +2.8177e+00 -2.7267e-01 -8.7993e-01 -1.7820e+00 -2.0489e+00 +4.0390e+00 -1.1256e+00 +1.3404e+00 +3.4322e-02 +1.2850e+00 +2.8068e+00 +5.1051e+00 +3.1262e+00 +2.4721e+00 -4.4685e+00 +4.0459e-02 +3.4324e+00 -5.3939e-01 -4.1494e-01
161 +2.375947391e+07 +2.375947391e+07 +2.375885280e+07 +2.375885280e+07 +7.2971e-01 +2.8800e+00 -4.1334e-02 -1.1803e+00 -1.2860e+00 -2.2871e+00 +4.4732e+00 -6.7841e-01 +7.7058e-01 -1.7872e-01 +9.1640e-01 +2.0268e+00 +4.5080e+00 +2.0155e+00 +2.3183e+00 -3.3529e+00 +1.0617e-02 +3.5913e+00 -9.1590e-01 -8.3577e-02
175 +2.086444595e+07 +2.086444595e+07 +2.086382484e+07 +2.086382484e+07 +1.3833e+00 +2.0145e+00 -4.1526e-01 -1.1426e+00 -1.5790e+00 -2.6912e+00 +4.0073e+00 -6.3200e-01 +8.7412e-02 -1.3167e+00 +1.0531e+00 +3.0122e+00 +3.4508e+00 +2.3128e+00 +2.2336e+00 -3.0962e+00 -1.8333e-01 +1.8931e+00 +1.1037e+00 -5.7550e-01
198 +1.806240530e+07 +1.806240530e+07 +1.806178419e+07 +1.806178419e+07 +1.8429e+00 +2.5392e+00 -3.3636e-01 -8.5766e-01 -1.7281e+00 -2.2795e+00 +2.8695e+00 -1.0513e+00 +9.7252e-02 -4.7798e-01 +7.4524e-01 +3.4728e+00 +2.4135e+00 +1.7570e+00 +1.2283e+00 -2.7211e+00 -3.3956e-01 +2.5336e+00 +9.2481e-01 -5.4465e-02
215 +1.738162807e+07 +1.738162807e+07 +1.738100696e+07 +1.738100696e+07 +1.6488e+00 +2.9261e+00 -5.8698e-01 -1.2847e+00 -1.8721e+00 -2.7699e+00 +3.2737e+00 -1.9512e+00 +1.3090e+00 +6.5764e-04 +8.0517e-01 +3.2610e+00 +2.8193e+00 +7.1726e-01 +7.6118e-01 -2.9986e+00 +2.1711e-01 +2.1634e+00 +1.6281e+00 +4.5223e-01
224 +1.413300083e+07 +1.413300083e+07 +1.413237972e+07 +1.413237972e+07 +9.6287e-01 +3.5293e+00 -2.4118e-01 -1.6721e+00 -1.4598e+00 -2.6877e+00 +2.6649e+00 -1.5988e+00 +1.4349e+00 +3.6279e-02 -1.1795e-01 +2.6827e+00 +2.8916e+00 +4.8245e-01 +3.6241e-01 -3.3572e+00 -3.5558e-01 +2.4113e+00 +1.2099e+00 +4.2477e-01
241 +1.361237322e+07 +1.361237322e+07 +1.361175211e+07 +1.361175211e+07 +5.2990e-01 +3.3767e+00 -2.7956e-01 -2.0316e+00 -1.4118e+00 -2.3587e+00 +2.0805e+00 -4.0989e-01 +1.0104e+00 +3.0283e-02 -2.0376e-01 +2.5666e+00 +2.7560e+00 +6.9168e-01 +9.1791e-01 -3.3873e+00 -6.5958e-01 +1.9493e+00 +4.2926e-01 +8.6645e-01
