% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
149 +2.969313744e+02 +2.969313744e+02 +3.995413744e+02 +3.995413744e+02 -3.2203e+00 -7.8410e-01 +1.2004e+00 +5.0889e-01 +1.3251e+00 +3.1477e+00 +1.4096e+00 +2.3473e+00 +9.8903e-01 -2.7984e-02 +1.2983e+00 +9.7367e-01 +4.7789e-01 +4.5769e-01 -1.5699e+00 +1.9216e+00 +2.4961e+00 +1.9947e+00 -1.9502e+00 -1.3782e+00
150 +2.789928134e+02 +2.789928134e+02 +3.816028134e+02 +3.816028134e+02 -1.2553e+00 -7.2629e-01 +1.8276e+00 +4.3627e-02 +6.5949e-01 +1.8558e+00 -2.4067e-01 +1.0811e+00 -5.1257e-01 +9.1586e-01 +5.6189e-01 +1.2459e+00 +9.8642e-01 +1.5071e-01 -9.1232e-01 +2.6626e+00 +2.0316e+00 +9.3784e-01 -1.2715e+00 +7.9589e-01
1174 +2.737408894e+02 +2.737408894e+02 +3.763508894e+02 +3.763508894e+02 -1.3898e+00 -3.1905e+00 -3.0915e-01 -2.2318e+00 +2.1834e+00 +1.1759e-01 +3.2130e-01 -5.1597e-01 +3.2994e+00 -1.6015e+00 +2.5751e+00 +1.8480e+00 +3.2106e+00 -2.0121e+00 +2.6784e+00 +1.7242e+00 +4.3578e-01 +4.6088e+00 -1.1329e+00 -4.6105e-01
1371 +2.518063894e+02 +2.518063894e+02 +3.544163894e+02 +3.544163894e+02 -8.4401e-01 -3.9640e+00 +5.5351e-01 -2.7370e+00 +1.5157e+00 +1.0573e+00 +6.8730e-01 +1.6210e+00 +2.3271e+00 +6.2998e-01 +8.1620e-01 -4.3987e-01 +1.3517e+00 -8.5030e-01 -6.4039e-01 +1.6220e+00 +2.0940e+00 +1.9213e+00 +7.1474e-01 -2.9703e-01
1658 +2.138341724e+02 +2.138341724e+02 +3.164441724e+02 +3.164441724e+02 -7.2035e-01 -3.2563e+00 +1.1421e-01 -6.4640e-01 +6.2578e-01 -4.9440e-01 +7.6139e-01 +2.0118e-01 +1.2061e+00 -8.2827e-01 +2.3866e-02 +2.4909e+00 +5.4836e-01 -2.0208e+00 +2.5997e-01 +1.4583e+00 +1.3864e+00 +1.6465e+00 -1.7062e+00 +7.7088e-02
2683 +1.911647345e+02 +1.911647345e+02 +2.937747345e+02 +2.937747345e+02 -1.9822e+00 -1.2660e+00 +8.0069e-01 -6.2560e-01 +2.8933e+00 +1.1916e+00 +1.8138e+00 -3.0069e-01 +8.6316e-01 -5.6873e-01 -3.1149e-01 +1.5227e+00 +1.3292e+00 -1.2851e+00 +7.0451e-01 +2.0673e+00 +1.1897e+00 +1.8425e+00 -3.6176e-01 +3.8439e-02
2967 +1.853459637e+02 +1.853459637e+02 +2.879559637e+02 +2.879559637e+02 -1.0754e+00 -3.0862e+00 +1.3854e+00 -2.9374e+00 +1.2385e+00 +9.5923e-01 +9.9816e-01 +1.5640e+00 +2.4230e+00 -7.8469e-01 +6.1467e-01 +1.6850e+00 -1.2574e-01 -2.7040e+00 +1.1186e+00 +3.0465e+00 +9.7744e-01 +2.9460e+00 -7.7823e-02 -1.4274e+00
6248 +1.616312918e+02 +1.616312918e+02 +2.642412918e+02 +2.642412918e+02 -1.2552e+00 -1.1390e+00 +1.0778e-01 -1.9383e+00 +1.0229e+00 +1.7795e+00 +1.6188e+00 +1.6117e+00 +9.0785e-01 -1.1625e+00 +3.5919e-01 +1.9853e-01 +3.0358e+00 -8.1226e-01 +1.4573e+00 +1.9243e+00 +2.1473e+00 +2.8387e-01 -1.9560e-01 +3.2313e-01
10378 +1.488912025e+02 +1.488912025e+02 +2.515012025e+02 +2.515012025e+02 -9.3037e-01 -1.0609e+00 +1.4820e+00 -8.7885e-01 +1.2486e+00 +2.5970e-01 -2.4102e-02 +1.1389e+00 +2.2244e+00 -1.7822e+00 +2.3762e+00 +6.1403e-01 +9.2729e-01 -1.3020e+00 +1.9834e+00 +1.2427e+00 +2.1024e+00 +1.7452e+00 -1.7504e+00 -1.7427e+00
