% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.128259773e+05 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +3.910647010e+05 +3.910647010e+05 +3.911409710e+05 +3.911409710e+05 +4.3949e-01 +1.5796e+00 -1.0306e+00 -9.8122e-01 -1.8044e+00 +8.2252e-01 -7.6879e-01 -2.8122e-02 +1.9471e+00 -8.2977e-01 -4.4349e-01 -8.8026e-01 -9.7706e-01 -1.1572e-02 +8.9545e-01 +4.2177e-01 -6.7079e-01 -2.4263e+00 -1.5973e-01 +3.3779e-01
7 +3.867207035e+05 +3.867207035e+05 +3.867969735e+05 +3.867969735e+05 +1.7420e+00 -1.8146e-01 +5.9561e-01 +7.3931e-01 +2.0376e+00 -1.3227e+00 -9.7151e-02 -2.3616e-01 +9.4237e-02 +3.0874e-02 +6.2382e-01 +1.1135e+00 -8.6646e-01 +3.1721e-01 -7.0287e-01 -5.8597e-01 +9.3895e-01 +6.4331e-01 -1.5737e-01 -4.3421e-01
12 +1.557626526e+05 +1.557626526e+05 +1.558389226e+05 +1.558389226e+05 +3.4681e+00 +1.3842e-02 +1.6591e+00 +6.9472e-01 +3.3617e+00 -1.9087e+00 +3.3546e-01 +4.5415e-01 -1.2415e+00 +1.3354e+00 +3.0287e-01 +2.7259e+00 +1.9042e-01 +6.2402e-01 -9.7649e-01 -1.6090e+00 +1.1045e+00 +2.3539e+00 -5.3777e-01 +5.4519e-01
14 +5.998129234e+03 +5.998129234e+03 +6.074399234e+03 +6.074399234e+03 +1.0771e+00 +7.6632e-02 -4.5416e-01 +2.0960e+00 +1.2640e+00 +1.6210e+00 -6.6089e-01 +1.3134e+00 +8.3406e-01 -7.7292e-01 -7.1305e-01 -5.6895e-01 +1.3899e-01 +9.0441e-01 -1.9082e+00 -1.4022e+00 +1.0530e+00 -2.8493e+00 -1.5667e+00 +7.4229e-01
37 +4.050204173e+03 +4.050204173e+03 +4.126474173e+03 +4.126474173e+03 -9.1537e-01 -2.5953e-01 -5.1681e-01 +3.3178e+00 -1.0026e+00 +3.2278e+00 +5.0100e-01 +1.7874e+00 +1.7883e+00 -4.4809e+00 +5.8391e-01 -5.8666e-02 +5.5926e-01 +7.4515e-02 -1.1632e+00 -1.0577e+00 -5.0597e-01 -1.3772e+00 -1.8437e+00 +1.2305e+00
75 +3.951554710e+03 +3.951554710e+03 +4.027824710e+03 +4.027824710e+03 +5.7084e-02 -1.1375e+00 +1.3878e+00 +9.0757e-01 -3.3404e+00 +1.1287e+00 +3.8855e-01 -1.4714e+00 -9.1248e-01 -6.4009e+00 +1.6409e+00 -8.6184e-01 +1.3678e+00 -1.0415e+00 -1.7015e+00 +2.1340e+00 +9.8470e-01 -4.9332e+00 +4.3705e+00 +1.4387e+00
114 +8.129540167e+02 +8.129540167e+02 +8.892240167e+02 +8.892240167e+02 -3.7055e+00 +1.7453e+00 +2.7547e+00 +3.2917e+00 -3.4295e+00 -1.9880e+00 +3.2242e+00 -2.0410e+00 -6.1816e+00 -7.9292e+00 +3.0587e+00 +3.8650e+00 +1.3652e+00 -9.0131e-01 -4.2974e+00 +2.3225e+00 -1.8049e+00 -6.3809e+00 +8.8053e+00 +8.0260e-01
181 +5.027305917e+02 +5.027305917e+02 +5.790005917e+02 +5.790005917e+02 -1.4577e+00 +3.4777e+00 +5.0648e+00 +4.8427e+00 -6.0850e+00 +6.2854e-01 -1.1431e+00 -2.8975e+00 -2.9243e+00 -7.3789e+00 +1.1125e-01 +5.7560e+00 +1.2664e+00 -3.4340e-01 -3.6922e+00 -7.4446e-01 +3.0966e-01 -5.2656e+00 +8.6538e+00 +2.6437e+00
100029 +3.037632721e+02 +3.037632721e+02 +3.800332721e+02 +3.800332721e+02 +3.5745e+00 -2.0727e+00 +4.8567e+00 -1.0335e+00 -3.0015e+00 +1.0610e+00 -4.4583e+00 +1.8017e-01 +2.0324e+00 +2.7644e+00 +3.2708e+00 +1.7692e+00 -2.2891e-01 +2.4224e+00 +8.8864e-01 -3.2754e+00 -6.9719e+00 -3.1840e+00 -7.8794e-01 +3.5810e+00
