% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +2.609570102e+01 +2.609570102e+01 +9.155701020e+00 +9.155701020e+00 -1.9753e+00 +5.5265e-01 +1.1073e+00 -8.7434e-01 +1.4195e+00 +8.9519e-01 -1.4004e+00 +4.0629e+00 +3.0624e-01 -2.2737e+00 +3.0704e+00 -3.1244e+00 -1.3313e+00 -9.1375e-01 +1.7910e+00 -4.0958e-01 +7.2635e-01 -2.7693e+00 +2.2905e+00 +2.5279e+00
15 +2.387852743e+01 +2.387852743e+01 +6.938527434e+00 +6.938527434e+00 -1.4812e+00 +1.9032e+00 +2.1443e+00 -1.2680e-01 +2.2358e+00 +1.4985e+00 -1.1979e+00 +4.6781e+00 +7.3107e-01 -4.5670e+00 +2.7118e+00 -2.5195e+00 -2.8275e-01 -9.9207e-01 +2.7447e+00 -3.2163e-01 +1.8066e+00 -3.7578e+00 +3.7995e+00 +3.7196e+00
17 +2.183959928e+01 +2.183959928e+01 +4.899599282e+00 +4.899599282e+00 -2.8177e+00 +2.7336e-01 +1.2956e+00 -7.4108e-01 +1.8062e+00 +4.1493e-01 -1.4354e+00 +4.5328e+00 -8.3275e-01 -3.7612e+00 +3.4646e+00 -2.6241e+00 -1.6198e-01 -2.1344e+00 +2.9193e+00 +1.4183e+00 +8.6324e-01 -3.8611e+00 +2.9696e+00 +1.8839e+00
20 +1.870703027e+01 +1.870703027e+01 +1.767030272e+00 +1.767030272e+00 -1.4571e+00 -7.4253e-02 +1.9054e+00 -2.1179e-01 +2.4379e+00 +1.4252e-01 +9.6816e-01 +3.6296e+00 -9.5058e-01 -2.6091e+00 +4.1118e+00 -1.4505e+00 -1.7577e+00 -5.0225e-01 +1.9029e+00 -1.3054e+00 +2.2225e+00 -2.2971e+00 +2.1838e+00 +4.6307e+00
23 +1.262853201e+01 +1.262853201e+01 -4.311467987e+00 -4.311467987e+00 -8.3344e-01 -1.2754e+00 +1.5884e+00 +1.2063e+00 +1.3559e+00 +6.3942e-01 +1.4248e+00 +2.1929e+00 -2.9334e-01 -1.2801e+00 +3.2090e+00 +1.3762e-02 -1.7752e+00 -5.8818e-03 +1.3592e+00 -6.7621e-01 +2.9440e+00 -1.5218e+00 +1.1420e+00 +3.5100e+00
77 +1.198509565e+01 +1.198509565e+01 -4.954904351e+00 -4.954904351e+00 -2.1669e-01 -1.0462e-01 +4.0175e+00 +1.9951e+00 +2.5213e+00 +2.6574e+00 +2.1620e+00 +1.9875e+00 +1.8598e+00 -1.8206e+00 +3.7333e+00 +2.7204e+00 +4.8555e-01 +1.4209e+00 +3.1431e+00 +2.2917e+00 +2.7480e+00 -9.0035e-01 -1.8619e-01 +2.4241e+00
111 +1.138057704e+01 +1.138057704e+01 -5.559422965e+00 -5.559422965e+00 +1.4602e+00 -1.1249e+00 +1.5440e+00 +3.4448e+00 +3.1210e+00 +1.4093e+00 +4.0089e+00 +4.2068e-01 +2.0380e+00 -1.1088e+00 +4.5235e+00 +3.6799e+00 -3.3571e-01 +1.6445e+00 +3.7270e+00 +4.8601e+00 +4.4030e+00 -7.8536e-01 -2.4497e+00 +3.2487e+00
112 +1.012546782e+01 +1.012546782e+01 -6.814532177e+00 -6.814532177e+00 +8.8960e-01 -8.8093e-01 +1.4052e+00 +2.9716e+00 +3.0614e+00 +4.0563e-01 +3.1916e+00 +1.2292e+00 +4.1825e+00 -1.7752e+00 +3.8257e+00 +3.3922e+00 -1.8637e+00 +6.7565e-01 +3.9489e+00 +4.3609e+00 +4.9237e+00 -1.8226e+00 -9.2116e-01 +3.2267e+00
141 +9.498177333e+00 +9.498177333e+00 -7.441822667e+00 -7.441822667e+00 +1.0075e+00 -9.0359e-01 +2.8477e+00 +3.3032e+00 +3.4476e+00 +3.8901e-01 +2.4264e+00 +4.8507e-01 +2.2360e+00 -1.1560e+00 +3.1490e+00 +2.8661e+00 -2.5301e+00 +1.4086e-01 +3.3697e+00 +4.4273e+00 +4.7887e+00 -1.0746e+00 -5.3265e-01 +3.4180e+00
