% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +5.784701123e+06 +5.784701123e+06 +5.784491243e+06 +5.784491243e+06 +5.2960e-01 -1.5340e+00 +1.6165e+00 +1.1915e+00 -1.1600e+00 +2.4582e-01 +4.6645e-01 -9.6849e-01 +1.7383e+00 +2.2189e+00 +6.4712e-02 +3.9184e-01 +5.3530e-01 -1.1149e+00 +1.1606e+00 +1.2883e-01 -1.0392e+00 -9.6764e-02 -4.0101e-01 +1.5787e+00
13 +3.922325188e+06 +3.922325188e+06 +3.922115308e+06 +3.922115308e+06 +4.0462e-02 -3.0175e-01 +1.7132e+00 +1.7896e+00 -6.8288e-01 +1.7398e+00 +6.1766e-01 +8.5947e-02 +2.6642e+00 +2.1109e+00 -2.3649e-01 -2.4824e-01 +8.2668e-01 -8.4855e-01 +1.8282e+00 +9.8155e-03 -6.2532e-01 +3.2704e-01 -1.7094e+00 +1.5198e+00
29 +2.603360652e+06 +2.603360652e+06 +2.603150772e+06 +2.603150772e+06 -1.0529e-02 -5.0377e-01 +2.2608e+00 +1.3910e+00 -5.4981e-01 +2.7166e+00 -1.4085e-01 +8.6658e-01 +3.8731e+00 +3.2726e+00 +1.0718e+00 +3.7078e-01 +2.5855e-01 +7.4572e-01 +1.1539e+00 +3.0440e-01 -1.4782e+00 +1.0833e+00 -2.6314e+00 +1.5866e+00
36 +2.505646921e+06 +2.505646921e+06 +2.505437041e+06 +2.505437041e+06 +1.4954e+00 -1.9349e+00 +2.4140e+00 +2.4966e+00 +6.5690e-01 +4.8569e+00 +1.9572e+00 +2.5939e+00 +3.5973e+00 +3.9298e+00 +3.6938e+00 +1.9971e+00 +2.0182e+00 +2.5127e+00 +3.1146e-01 +1.2007e+00 -1.9951e+00 +2.6984e+00 -3.5131e+00 +1.9746e+00
41 +1.725124608e+06 +1.725124608e+06 +1.724914728e+06 +1.724914728e+06 +1.0532e+00 -1.5129e+00 +3.5991e+00 +1.6754e+00 +2.0064e-02 +3.7170e+00 -6.1199e-01 +1.4211e+00 +5.9368e+00 +3.4300e+00 +3.3223e-01 -7.7309e-01 +1.1435e+00 +9.2419e-01 +1.7958e+00 -3.1974e-01 -3.0252e+00 +1.5175e+00 -2.5066e+00 +1.8272e+00
55 +1.625160856e+06 +1.625160856e+06 +1.624950976e+06 +1.624950976e+06 +3.9756e+00 -4.0522e+00 +4.1298e+00 +1.8504e+00 +2.8393e-01 +3.1300e+00 -1.3439e+00 -7.4435e-01 +6.3822e+00 +4.8266e+00 +1.7160e+00 -1.1176e+00 +2.2479e+00 +1.0257e+00 +1.9366e+00 -1.4762e+00 -3.3050e+00 +1.7782e+00 -2.5110e+00 +2.4899e+00
66 +7.743781096e+05 +7.743781096e+05 +7.741682296e+05 +7.741682296e+05 +3.5075e+00 -3.6280e+00 +4.7689e+00 +1.0317e+00 +1.2415e+00 +3.2589e+00 -1.6294e+00 -4.3784e-01 +5.3582e+00 +7.8181e+00 +4.0824e-01 -7.8922e-01 +1.8308e+00 +1.7816e+00 +7.8040e-01 -1.9717e+00 -3.8750e+00 +3.7115e+00 -2.6614e+00 +2.1351e+00
85 +6.942560662e+05 +6.942560662e+05 +6.940461862e+05 +6.940461862e+05 +2.7866e+00 -2.4120e+00 +3.6854e+00 -3.2628e-01 +4.1923e+00 +5.5582e+00 -9.6893e-01 -1.2804e+00 +5.9494e+00 +5.6579e+00 -7.3446e-02 -1.9822e+00 +3.2206e-02 +1.6926e+00 -1.9693e+00 -1.6984e+00 -2.5965e+00 +2.4164e+00 -2.2051e+00 +1.7010e+00
89 +5.098205293e+05 +5.098205293e+05 +5.096106493e+05 +5.096106493e+05 +3.3278e+00 -1.4736e+00 +4.1986e+00 +9.7274e-01 +4.5144e+00 +3.0685e+00 -5.2719e-01 -4.2636e-01 +5.2817e+00 +5.4005e+00 +6.5558e-01 -1.1869e+00 +1.3020e+00 +1.3207e+00 +4.4474e-01 -1.9759e+00 -2.6524e+00 +3.3181e+00 -2.5583e+00 +1.7703e+00
95 +4.945387862e+05 +4.945387862e+05 +4.943289062e+05 +4.943289062e+05 +1.0081e+00 -2.6358e+00 +2.6663e+00 +1.7311e+00 +4.3381e+00 +6.1623e-01 -2.5038e-01 -9.1665e-01 +5.6926e+00 +4.2547e+00 +2.0646e+00 -1.5626e+00 +1.5867e+00 +1.4646e+00 -9.5831e-01 -2.2654e+00 -3.6149e+00 +2.4488e+00 -2.7330e+00 +2.0160e+00
387 +3.971056598e+05 +3.971056598e+05 +3.968957798e+05 +3.968957798e+05 -9.1411e+00 -1.8836e+00 +1.6214e+00 -5.6931e+00 +2.1888e+00 +2.3825e+00 -2.3417e+00 -4.2291e+00 -8.9877e-01 +6.6808e+00 +5.7173e+00 -3.3232e+00 +1.6924e+00 -3.3113e-01 -2.8339e+00 -3.1220e+00 -2.2088e+00 +2.8002e+00 -2.5810e+00 +2.1383e+00
455 +3.725076722e+05 +3.725076722e+05 +3.722977922e+05 +3.722977922e+05 -9.7455e+00 -2.0827e+00 -3.4591e+00 -8.3478e+00 +4.1909e+00 +9.4784e-01 +2.7598e+00 -7.0822e+00 +3.1935e+00 +6.0889e+00 +4.8133e+00 -1.5314e+00 +2.7830e+00 -2.4359e+00 -2.5018e+00 -3.8188e+00 -3.6897e+00 +2.6065e+00 -2.0395e+00 +2.2392e+00
719 +3.713051477e+05 +3.713051477e+05 +3.710952677e+05 +3.710952677e+05 -2.2273e+00 -3.3203e+00 +4.0970e+00 -1.4115e+01 +6.5518e+00 -5.5740e-01 +4.3733e+00 +7.5604e-01 +2.5368e+00 +1.8559e+00 +3.0477e+00 -1.7405e+00 +1.8414e+00 +9.5567e-01 -2.9695e+00 -3.0198e+00 -4.0107e+00 +2.9367e+00 -2.4242e+00 +2.0674e+00
777 +3.488040412e+05 +3.488040412e+05 +3.485941612e+05 +3.485941612e+05 -3.9111e+00 -3.8820e+00 +3.2849e+00 -1.3041e+01 +3.6284e+00 -6.4252e-01 +2.1771e+00 +1.8414e+00 +4.3016e+00 +1.0102e+00 +4.5401e+00 -1.0749e+00 +2.9465e+00 +1.9094e+00 -6.5552e-01 -3.0769e+00 -3.0337e+00 +2.7634e+00 -2.4351e+00 +1.6246e+00
1043 +2.903097609e+05 +2.903097609e+05 +2.900998809e+05 +2.900998809e+05 -4.2927e+00 +9.0286e-01 +9.2201e+00 -1.8539e+01 +5.1427e+00 -6.3869e+00 -2.4743e+00 +3.9408e+00 +6.7718e+00 +5.9653e+00 +8.1595e+00 -1.5179e-01 +2.1386e+00 -1.1127e+00 -1.6702e+00 -4.8270e+00 -3.2560e+00 +2.7980e+00 -2.6613e+00 +1.8194e+00
1101 +2.359662251e+05 +2.359662251e+05 +2.357563451e+05 +2.357563451e+05 -4.0405e+00 +1.4001e+00 +6.6708e+00 -1.6067e+01 +4.5527e+00 -5.5903e+00 -1.9435e+00 +3.0360e+00 +6.4953e+00 +7.9042e+00 +7.5983e+00 +5.2054e-01 +3.5911e+00 -4.9213e-01 -1.5828e+00 -3.8322e+00 -2.7918e+00 +2.4300e+00 -2.3152e+00 +1.8081e+00
1178 +2.055571570e+05 +2.055571570e+05 +2.053472770e+05 +2.053472770e+05 -7.9982e+00 -1.5490e-01 +1.6323e+00 -1.6498e+01 -3.8020e-01 -3.0646e+00 -3.9743e+00 +3.9040e+00 +8.7922e+00 +3.0295e+00 +6.5377e+00 -1.7608e+00 +9.1577e-01 -1.6891e+00 -1.2142e+00 -3.4111e+00 -2.6263e+00 +3.1807e+00 -2.3532e+00 +1.9518e+00
1688 +2.039579644e+05 +2.039579644e+05 +2.037480844e+05 +2.037480844e+05 -1.0519e+01 -3.9765e-01 -4.7503e+00 -2.0487e+01 +9.2753e+00 -5.0371e+00 -4.9866e+00 +3.7471e+00 +9.3605e+00 +8.7400e+00 +1.2642e+00 +3.7906e+00 +2.1693e+00 -2.2381e+00 -3.5516e-01 -4.1116e+00 -3.2247e+00 +3.3161e+00 -2.2272e+00 +1.8451e+00
1689 +1.746724334e+05 +1.746724334e+05 +1.744625534e+05 +1.744625534e+05 -1.0860e+01 -1.3411e+00 -5.4734e+00 -1.9782e+01 +1.0952e+01 -4.7932e+00 -4.3568e+00 +5.2330e+00 +8.9660e+00 +6.8497e+00 -1.6261e+00 +2.3992e+00 +2.9278e+00 -1.2278e+00 -8.6034e-01 -3.9460e+00 -2.5664e+00 +3.4040e+00 -2.1334e+00 +1.9286e+00
1908 +1.640897211e+05 +1.640897211e+05 +1.638798411e+05 +1.638798411e+05 -1.3149e+01 -3.1282e+00 -5.7668e+00 -1.9498e+01 +2.7656e+00 -5.0164e+00 +1.1650e+00 +9.9807e+00 +9.1999e+00 +9.4733e+00 -1.3450e+00 +2.8153e+00 +3.6051e+00 -1.2538e+00 -1.4857e+00 -3.6820e+00 -3.3380e+00 +3.0541e+00 -2.0655e+00 +1.9686e+00
1940 +1.609185738e+05 +1.609185738e+05 +1.607086938e+05 +1.607086938e+05 -1.2150e+01 -3.2212e+00 -1.0213e+01 -1.9728e+01 +1.4919e+00 -3.4132e+00 +5.6987e-01 +1.0769e+01 +8.9494e+00 +1.0878e+01 -9.3614e-01 +2.5632e+00 +3.3199e+00 -1.6758e+00 -1.7766e+00 -3.0165e+00 -2.9769e+00 +3.0769e+00 -2.5702e+00 +1.9086e+00
