% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +1.022745484e+07 +1.022745484e+07 +1.022724496e+07 +1.022724496e+07 +5.2378e-02 +2.1253e-01 +1.9082e-01 -1.4953e+00 -6.8130e-01 +7.1883e-01 +5.6341e-01 -7.9183e-01 +1.1646e+00 +2.0796e-01 +1.1899e-01 +5.9840e-01 +1.0332e+00 +3.2854e-01 +1.1367e+00 +1.3929e+00 +3.7519e-01 +1.2416e+00 +1.3391e-01 +2.9995e-01
12 +6.894048277e+06 +6.894048277e+06 +6.893838397e+06 +6.893838397e+06 +1.9488e-01 +1.7867e+00 -9.2795e-01 -4.0618e-01 -2.6005e+00 -1.6991e+00 +2.2107e+00 -7.7042e-02 +1.0169e+00 -1.3317e+00 +1.2537e-02 +3.6667e-01 +4.3833e-01 -8.2252e-02 +2.3915e+00 +2.0513e+00 -4.0866e-01 -9.2017e-02 -1.1572e+00 +1.1155e+00
19 +6.360509107e+06 +6.360509107e+06 +6.360299227e+06 +6.360299227e+06 -1.0794e-01 -2.2623e+00 -1.1543e+00 -8.2702e-01 -4.0752e-01 -1.2763e+00 +1.8684e-01 +7.6026e-01 +2.8383e+00 -9.1281e-01 -8.0075e-01 +7.4770e-01 +3.2039e-01 +1.1359e+00 +2.2166e+00 -1.0954e-01 -5.0173e-01 -8.8508e-02 -4.7210e-01 +1.2157e+00
23 +4.165716865e+06 +4.165716865e+06 +4.165506985e+06 +4.165506985e+06 -5.4682e-02 -2.5512e+00 -9.8574e-01 -1.1786e+00 -8.5176e-01 -9.1949e-01 +1.1927e+00 +5.0442e-01 +3.4087e+00 -1.6529e+00 -1.1754e+00 +2.2069e+00 -5.3191e-01 +5.1124e-01 +4.5259e+00 -2.8627e-01 -1.4195e+00 +1.5534e-01 -2.0644e+00 +1.5217e+00
29 +4.030219714e+06 +4.030219714e+06 +4.030009834e+06 +4.030009834e+06 +7.8113e-01 -2.9117e+00 -4.4869e-01 -1.5100e+00 -1.3089e+00 +9.8463e-02 -2.5334e-01 +4.7869e-01 +2.6682e+00 -3.1202e+00 -2.2690e+00 +1.4362e+00 +1.7022e-01 +7.3971e-01 +3.2043e+00 +2.1125e-01 +1.7550e-01 +1.3636e+00 -1.5962e+00 +1.3982e+00
39 +3.161626724e+06 +3.161626724e+06 +3.161416844e+06 +3.161416844e+06 +9.6865e-01 -3.2170e+00 -4.6289e-01 -7.0769e-01 -1.9789e+00 +5.4539e-02 -2.2277e+00 -7.3019e-01 +2.5290e+00 -1.6174e+00 -2.7693e+00 +1.5972e+00 -2.2701e-01 -6.1587e-01 +3.0695e+00 +1.5280e-01 +3.9358e-01 +2.2014e+00 -2.9314e+00 +1.6962e+00
42 +3.065825637e+06 +3.065825637e+06 +3.065615757e+06 +3.065615757e+06 -2.9583e-01 -2.9782e+00 -4.1930e-01 -3.8007e-01 -1.4626e+00 +9.3395e-01 -1.4610e+00 +4.7334e-02 +2.6739e+00 -2.2999e+00 -1.8949e+00 +1.2715e+00 -4.3349e-01 -1.1328e-01 +3.9719e+00 +1.6487e+00 -1.2380e+00 +2.7719e+00 -3.0123e+00 +2.0679e+00
50 +2.597805159e+06 +2.597805159e+06 +2.597595279e+06 +2.597595279e+06 -7.7387e-01 -4.1803e+00 +1.3192e-01 -3.5466e-01 -1.2803e+00 -4.8235e-01 -1.1469e+00 -2.3909e-01 +3.5303e+00 -2.7215e+00 -3.6278e+00 +7.8595e-01 +2.7815e-01 +2.0002e-01 +2.0609e+00 -1.5379e+00 -4.0272e-01 +2.3454e+00 -2.9049e+00 +2.8324e+00
62 +2.182169684e+06 +2.182169684e+06 +2.181959804e+06 +2.181959804e+06 -1.0993e+00 -5.0856e+00 -9.3865e-01 +2.7634e-01 -5.9220e-01 -1.3569e+00 -1.0040e+00 -8.1917e-01 +6.1129e+00 -1.1648e+00 -3.3482e+00 -1.1523e-01 -2.9610e-01 +3.1766e-01 +2.1690e+00 -2.2462e+00 -8.5046e-01 +2.5374e+00 -1.4691e+00 +2.6025e+00
