% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.430908362e+02 +1.430908362e+02 +1.261508362e+02 +1.261508362e+02 -1.1079e+00 +2.1662e+00 +1.2411e+00 +4.5878e-01 -6.0884e-01 -1.6733e+00 +1.1825e+00 +1.5474e+00 +2.4688e+00 -2.5747e+00 +6.4672e-01 +4.3600e+00 -5.1507e-02 +1.0723e-01 +1.4218e+00 -6.0054e-01 -1.7559e+00 +2.1497e+00 +1.4723e+00 -1.6494e+00
4 +1.308530069e+02 +1.308530069e+02 +1.139130069e+02 +1.139130069e+02 +7.0843e-01 +4.5479e-01 +4.4951e-01 -6.5441e-01 +9.1051e-01 -9.7746e-01 -7.5438e-02 +3.2786e-01 +1.3916e+00 -1.1035e+00 +3.7346e-01 +1.8466e+00 +2.2306e+00 -1.4633e+00 +8.1932e-03 +2.5008e-01 -8.1420e-01 +6.0099e-01 +1.3834e+00 -8.0139e-01
8 +8.814286345e+01 +8.814286345e+01 +7.120286345e+01 +7.120286345e+01 +2.3851e+00 -1.7571e+00 -3.6229e+00 -6.4845e-01 -4.5451e-01 +2.0288e+00 +6.6150e-01 -1.4294e+00 +2.2085e-01 +1.2456e+00 +4.0268e-01 -3.1106e+00 +1.1608e+00 -1.2471e+00 -1.9587e+00 +5.1262e-01 +4.2587e-01 +9.3047e-01 -2.8694e+00 +7.4766e-01
24 +8.709516338e+01 +8.709516338e+01 +7.015516338e+01 +7.015516338e+01 +1.4697e+00 -2.6388e+00 -5.0144e+00 +6.0913e-01 +1.0350e-01 +1.0005e+00 +5.9902e-02 -2.9970e+00 -5.6175e-01 +7.6991e-01 +1.1533e+00 -7.3202e-01 +1.2912e+00 -2.2198e+00 -9.7186e-01 -4.5325e-01 +2.6717e+00 +1.1146e+00 -2.0940e+00 +1.4102e+00
29 +8.098798261e+01 +8.098798261e+01 +6.404798261e+01 +6.404798261e+01 +1.8635e+00 -1.7180e+00 -1.4955e+00 +2.9275e-02 +2.0804e-01 +2.6149e+00 -3.2897e-01 -2.2428e+00 +6.4852e-01 +7.7065e-01 +8.1179e-01 -2.8889e-01 +1.0659e+00 -1.3294e+00 -1.0430e+00 +5.1319e-01 +1.9682e+00 +1.3701e+00 -6.3364e-01 +7.0600e-01
40 +7.608490948e+01 +7.608490948e+01 +5.914490948e+01 +5.914490948e+01 +2.6880e+00 -1.9648e+00 -2.5588e+00 -7.2969e-01 -6.3456e-01 +4.2517e+00 +3.4765e-01 -4.1285e+00 +6.8114e-01 -5.7968e-01 +1.4407e+00 -2.1211e+00 +6.2581e-01 -2.2903e+00 -1.5149e+00 +1.4214e+00 +1.8107e+00 +1.3492e+00 -1.7145e+00 +7.0498e-01
48 +7.230798794e+01 +7.230798794e+01 +5.536798794e+01 +5.536798794e+01 +2.4710e+00 -2.5269e+00 -2.5476e+00 -1.9922e-01 -4.5086e-01 +2.5138e+00 +7.4378e-01 -4.3497e+00 +7.7707e-02 -7.2367e-01 +1.4677e+00 -2.7911e+00 -2.3753e-02 -2.6500e+00 -2.4338e+00 +1.2398e+00 +1.3761e+00 +2.4045e+00 -9.9435e-01 -2.5708e-01
53 +5.639939018e+01 +5.639939018e+01 +3.945939018e+01 +3.945939018e+01 +2.5644e+00 -3.4729e+00 -3.1312e+00 -6.0634e-01 +3.5293e-02 +3.1145e+00 +5.4327e-01 -4.4967e+00 +1.2701e+00 -1.5133e+00 +2.8119e+00 -2.1022e+00 +9.2899e-01 -2.3865e+00 -2.1078e+00 +5.4455e-01 +6.6001e-01 +4.3413e+00 -3.8132e+00 +1.5273e+00
56 +5.186847866e+01 +5.186847866e+01 +3.492847866e+01 +3.492847866e+01 +2.4775e+00 -1.8937e+00 -2.8659e+00 +3.7097e-01 -5.9567e-01 +1.5324e+00 +1.2169e+00 -4.3276e+00 +2.7738e-01 -3.8900e-01 +2.6823e+00 -1.6808e+00 +2.3006e+00 -2.5381e+00 -5.1504e-01 +1.3274e+00 +6.2753e-01 +3.1454e+00 -2.5400e+00 +3.9457e-01
70 +4.967423623e+01 +4.967423623e+01 +3.273423623e+01 +3.273423623e+01 +1.8649e+00 -1.2140e+00 -3.4541e+00 -2.3208e-01 -8.7227e-01 +1.1246e+00 +1.2972e+00 -3.9505e+00 -3.4862e-01 -1.3433e-01 +3.3244e+00 -1.9155e+00 +3.7891e+00 -2.4874e+00 -7.3336e-01 +4.7553e-01 +1.1937e+00 +3.6799e+00 -1.4696e+00 +1.2878e+00
126 +4.787831742e+01 +4.787831742e+01 +3.093831742e+01 +3.093831742e+01 +1.8558e+00 -1.8461e+00 -2.9647e+00 -1.3945e-01 +6.6046e-01 +1.8356e+00 +2.9555e+00 -3.2523e+00 -7.6052e-01 -6.7472e-01 +1.5141e+00 -1.4661e+00 +2.8510e+00 -4.5412e-01 -2.1395e+00 +3.4684e-01 +4.3073e+00 +3.1313e+00 -2.3519e+00 +2.0209e+00
128 +3.979793586e+01 +3.979793586e+01 +2.285793586e+01 +2.285793586e+01 +1.3551e+00 -2.1401e+00 -3.2756e+00 +2.0830e-01 -1.1797e-01 +1.0489e+00 +2.3026e+00 -5.3550e+00 -2.3606e+00 -1.5665e+00 +1.7107e+00 -1.8797e+00 +1.9690e+00 -1.3667e+00 -2.5960e+00 -4.6391e-01 +3.4818e+00 +3.1683e+00 -2.0966e+00 +2.1389e+00
236 +3.629894592e+01 +3.629894592e+01 +1.935894592e+01 +1.935894592e+01 -2.5293e-01 -1.2990e+00 -1.9239e+00 -7.0819e-01 -6.3868e-02 +1.3111e+00 +2.8585e+00 -2.5970e+00 -2.4189e+00 -2.4044e+00 +3.9922e-01 -7.9257e-01 +6.2089e-01 -1.0984e+00 -1.5389e+00 +8.5405e-01 +2.4556e+00 +3.1679e+00 -1.3960e+00 +1.9807e+00
415 +3.438310867e+01 +3.438310867e+01 +1.744310867e+01 +1.744310867e+01 -1.4530e-01 -1.5500e+00 -3.0786e+00 -3.9435e-01 +1.0794e+00 +2.1550e+00 +9.1756e-01 -4.3003e+00 -2.8777e+00 -1.7050e+00 +2.5139e+00 -8.2720e-01 +1.7459e+00 -7.4992e-01 -1.5707e+00 +2.1100e+00 +2.9268e+00 +1.1544e+00 -1.9140e+00 +2.3928e+00
418 +2.898749262e+01 +2.898749262e+01 +1.204749262e+01 +1.204749262e+01 -1.3687e-01 -5.1371e-01 -3.6179e+00 -3.5077e-01 +1.0243e+00 +2.0952e+00 +1.5100e+00 -3.9860e+00 -2.6465e+00 -1.5894e+00 +1.9856e+00 -7.8993e-01 +1.5521e+00 -5.6800e-01 -1.1977e+00 +2.6374e+00 +2.6744e+00 +1.8425e-01 -1.8348e+00 +2.4416e+00
432 +2.677392436e+01 +2.677392436e+01 +9.833924363e+00 +9.833924363e+00 +1.9018e-01 -4.4700e-01 -3.8905e+00 -6.6676e-01 +1.3979e+00 +2.0032e+00 +2.3985e+00 -3.4939e+00 -2.6926e+00 -2.7238e+00 +2.4742e+00 -4.2436e-01 +1.7942e+00 -6.3087e-01 -1.4277e+00 +2.8621e+00 +3.2246e+00 +2.1873e-01 -9.9955e-01 +2.8692e+00
832 +2.583645466e+01 +2.583645466e+01 +8.896454664e+00 +8.896454664e+00 +7.0959e-01 +7.6737e-01 -2.7798e+00 +9.6278e-01 +4.2677e+00 +7.2632e-01 +4.8768e+00 -2.3388e+00 -2.1791e+00 -5.7953e-01 +4.1427e+00 -2.3357e+00 +3.2839e+00 -2.1182e+00 -1.5465e+00 +3.7759e+00 +5.1425e+00 +7.3063e-01 -1.4376e+00 +1.1561e+00
941 +2.450661260e+01 +2.450661260e+01 +7.566612603e+00 +7.566612603e+00 +9.0090e-01 +3.8239e-01 -2.8910e+00 +3.1986e-01 +5.0877e+00 +9.2951e-01 +4.0880e+00 -3.0010e+00 -1.5992e+00 -1.0872e+00 +4.1683e+00 -1.7652e+00 +3.7212e+00 -1.7851e+00 -2.4788e+00 +4.0827e+00 +4.9090e+00 +1.3321e+00 -6.6240e-01 +1.4809e+00
2336 +2.378541066e+01 +2.378541066e+01 +6.845410660e+00 +6.845410660e+00 +1.4286e+00 -1.1528e-01 -3.3342e+00 -6.6315e-01 +5.3364e+00 +3.2378e+00 +3.9890e+00 -1.2303e+00 -2.3033e+00 +2.1833e-01 +2.1777e+00 -1.2570e+00 +2.6277e+00 -1.7467e+00 -2.9990e+00 +3.3908e+00 +4.1353e+00 +8.9999e-01 -1.0410e+00 +3.1797e+00
2622 +2.337303790e+01 +2.337303790e+01 +6.433037897e+00 +6.433037897e+00 +1.4170e+00 -1.3549e-01 -3.3594e+00 -6.5404e-01 +5.3042e+00 +3.2257e+00 +3.9961e+00 -1.2432e+00 -2.3148e+00 +2.0344e-01 +2.1914e+00 -1.2970e+00 +2.6180e+00 -1.7296e+00 -3.0045e+00 +3.3818e+00 +4.1602e+00 +8.8145e-01 -1.0768e+00 +3.1532e+00
2952 +2.289699233e+01 +2.289699233e+01 +5.956992334e+00 +5.956992334e+00 +1.3762e+00 -1.1686e-01 -3.3701e+00 -6.6329e-01 +5.2641e+00 +3.2129e+00 +3.9826e+00 -1.1920e+00 -2.3180e+00 +1.0001e-01 +2.2071e+00 -1.2974e+00 +2.6359e+00 -1.6869e+00 -3.0096e+00 +3.3865e+00 +4.1668e+00 +8.7692e-01 -1.0508e+00 +3.1719e+00
3547 +2.238141709e+01 +2.238141709e+01 +5.441417092e+00 +5.441417092e+00 +1.3613e+00 -1.0756e-01 -3.3250e+00 -6.5932e-01 +5.2390e+00 +3.2036e+00 +3.9922e+00 -1.0457e+00 -2.3455e+00 +2.8655e-02 +2.1883e+00 -1.3297e+00 +2.6550e+00 -1.7101e+00 -2.9674e+00 +3.4106e+00 +4.2092e+00 +8.7780e-01 -1.0358e+00 +3.2124e+00
4166 +2.187461435e+01 +2.187461435e+01 +4.934614349e+00 +4.934614349e+00 +1.3110e+00 -1.1671e-01 -3.2591e+00 -6.4884e-01 +5.1532e+00 +3.2020e+00 +4.0300e+00 -8.0273e-01 -2.3951e+00 -1.5388e-01 +2.1460e+00 -1.4307e+00 +2.7325e+00 -1.7807e+00 -2.8958e+00 +3.4316e+00 +4.3210e+00 +8.8927e-01 -1.0122e+00 +3.2693e+00
5452 +2.137635442e+01 +2.137635442e+01 +4.436354422e+00 +4.436354422e+00 +1.2677e+00 -1.4572e-01 -3.2568e+00 -6.3007e-01 +5.1114e+00 +3.1021e+00 +4.1115e+00 -5.8314e-01 -2.3073e+00 -3.8987e-01 +2.1117e+00 -1.6317e+00 +2.7729e+00 -1.8312e+00 -2.7674e+00 +3.2767e+00 +4.4396e+00 +7.9744e-01 -1.0021e+00 +3.3479e+00
7695 +2.088756427e+01 +2.088756427e+01 +3.947564270e+00 +3.947564270e+00 +1.2178e+00 -8.9358e-02 -3.4388e+00 -5.9666e-01 +5.0091e+00 +3.0987e+00 +4.4385e+00 -4.4268e-01 -2.2370e+00 -6.2655e-01 +2.1881e+00 -2.0149e+00 +2.7307e+00 -1.5872e+00 -2.4933e+00 +3.2302e+00 +4.4820e+00 +5.0687e-01 -9.8370e-01 +3.5961e+00
12766 +2.041735684e+01 +2.041735684e+01 +3.477356842e+00 +3.477356842e+00 +1.2597e+00 -8.7726e-02 -3.5279e+00 -8.3329e-01 +4.9300e+00 +3.2644e+00 +4.8929e+00 -1.1893e-01 -2.1365e+00 -9.2209e-01 +2.3369e+00 -2.6913e+00 +2.6945e+00 -1.2620e+00 -1.8845e+00 +3.6369e+00 +4.7603e+00 +6.1618e-02 -1.1594e+00 +3.8226e+00
1001572 +1.986832953e+01 +1.986832953e+01 +2.928329535e+00 +2.928329535e+00 +2.6768e+00 -4.3166e-01 -1.7171e+00 +6.5682e-01 +4.8013e+00 -5.5346e-01 +3.8645e+00 -3.8239e+00 +3.9120e-01 -3.0742e+00 +5.2308e+00 -2.2835e+00 -1.5479e+00 -1.2758e+00 +2.8163e+00 -1.7549e+00 +4.9619e-01 -6.5544e-01 +2.7333e+00 +3.3287e+00
1001726 +1.782707445e+01 +1.782707445e+01 +8.870744504e-01 +8.870744504e-01 +2.4843e+00 -8.7028e-01 -1.4832e+00 +5.9322e-01 +4.5778e+00 -4.6268e-01 +4.2154e+00 -3.6708e+00 +6.4935e-02 -3.0020e+00 +5.5170e+00 -2.2371e+00 -7.8350e-01 -8.9857e-01 +3.5466e+00 +3.2135e-02 +6.8232e-01 -2.7761e-02 +2.7672e+00 +3.1104e+00
1001837 +1.744713491e+01 +1.744713491e+01 +5.071349144e-01 +5.071349144e-01 +2.2007e+00 -7.7479e-01 -1.1566e+00 +9.8950e-01 +4.2473e+00 -7.2913e-01 +3.7252e+00 -4.5530e+00 -7.8040e-01 -2.6881e+00 +5.1095e+00 -2.3838e+00 -9.8290e-01 -4.7624e-01 +3.1759e+00 -2.2149e-01 +5.9527e-01 -3.2516e-01 +2.3558e+00 +2.9518e+00
1002000 +1.699931283e+01 +1.699931283e+01 +5.931282739e-02 +5.931282739e-02 +1.6038e+00 -5.4372e-01 -1.6698e+00 +5.1568e-01 +4.4114e+00 -3.9966e-01 +3.6437e+00 -3.9474e+00 -1.4424e-01 -2.5162e+00 +5.5288e+00 -2.2667e+00 -8.0720e-01 -4.9987e-01 +3.0864e+00 -5.7365e-01 +1.0234e+00 -1.8948e-01 +2.8165e+00 +2.9672e+00
1002037 +1.694144186e+01 +1.694144186e+01 +1.441864858e-03 +1.441864858e-03 +1.7323e+00 -6.4746e-01 -1.6953e+00 +4.9108e-01 +4.2857e+00 -3.0877e-01 +3.5733e+00 -3.8477e+00 -1.5566e-01 -2.6700e+00 +5.2896e+00 -2.2724e+00 -7.2458e-01 -4.0088e-01 +3.2260e+00 -3.1150e-01 +1.0031e+00 -1.6235e-01 +2.7224e+00 +3.1536e+00
1002038 +1.654464019e+01 +1.654464019e+01 -3.953598121e-01 -3.953598121e-01 +1.8163e+00 -5.5197e-01 -1.7566e+00 +6.1632e-01 +4.5781e+00 -1.9431e-01 +3.5379e+00 -3.8564e+00 -1.1290e-01 -2.4376e+00 +5.3568e+00 -2.2977e+00 -8.1056e-01 -5.0039e-01 +3.1307e+00 -2.1559e-01 +1.0290e+00 -1.4032e-01 +2.7888e+00 +2.9870e+00
1002118 +1.591503510e+01 +1.591503510e+01 -1.024964904e+00 -1.024964904e+00 +1.7381e+00 -5.1017e-01 -1.6471e+00 +7.6142e-01 +4.6847e+00 -2.0967e-01 +3.3177e+00 -3.8766e+00 +2.0822e-01 -2.6325e+00 +5.3698e+00 -2.2919e+00 -7.2425e-01 -4.1906e-01 +3.0261e+00 -4.9580e-01 +1.0035e+00 -6.3075e-02 +2.5520e+00 +2.8440e+00
1002208 +1.583861814e+01 +1.583861814e+01 -1.101381861e+00 -1.101381861e+00 +1.6649e+00 -5.1319e-01 -1.7555e+00 +7.8616e-01 +4.5607e+00 -2.0031e-01 +3.3004e+00 -3.8530e+00 +1.7701e-01 -2.6125e+00 +5.3236e+00 -2.2508e+00 -9.1435e-01 -2.0686e-01 +2.9213e+00 -4.3190e-01 +1.0783e+00 -3.0777e-04 +2.4539e+00 +2.8593e+00
1002213 +1.493319018e+01 +1.493319018e+01 -2.006809824e+00 -2.006809824e+00 +1.6270e+00 -5.4629e-01 -1.7072e+00 +7.7625e-01 +4.5690e+00 -2.2133e-01 +3.3604e+00 -3.9157e+00 +9.5272e-02 -2.5797e+00 +5.3406e+00 -2.2017e+00 -9.1609e-01 -2.5390e-01 +2.9638e+00 -3.2524e-01 +1.0552e+00 +4.0298e-02 +2.4219e+00 +2.7903e+00
