% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.288577618e+08 +4.288577618e+08 +4.288571407e+08 +4.288571407e+08 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8 +3.713997838e+08 +3.713997838e+08 +3.713991627e+08 +3.713991627e+08 +1.3469e+00 +1.6824e+00 -2.6275e+00 -1.5104e+00 +2.9117e-01 +1.1926e+00 -1.5352e+00 +5.5924e-01 -2.0038e+00 -1.5335e-01 -8.2063e-01 +1.8189e+00 +1.9736e+00 -2.0034e+00 -1.0018e+00 +1.0993e+00 +3.7099e-01 -7.7488e-01 -1.9807e+00 -1.5996e+00
12 +3.054140828e+08 +3.054140828e+08 +3.054134617e+08 +3.054134617e+08 +6.3294e-01 +1.5352e+00 -1.6986e+00 -1.5434e-01 -1.7022e+00 +7.0731e-01 -4.3392e-01 +1.4773e-01 -1.7740e-01 +1.0082e+00 -7.3905e-01 +1.6430e+00 +2.6314e+00 -3.3333e+00 -1.6989e-01 +1.5215e+00 +1.6465e+00 -9.8182e-01 -3.6317e+00 -6.9370e-01
17 +2.110110795e+08 +2.110110795e+08 +2.110104584e+08 +2.110104584e+08 +1.9645e+00 +1.9951e+00 -3.3799e+00 -2.2381e+00 -7.0463e-01 -8.4952e-02 -4.9089e-01 -2.6001e-01 -1.1757e+00 +6.2787e-01 -1.6204e+00 +1.0780e+00 +1.6491e+00 -1.1935e+00 -1.0244e+00 -1.0975e+00 +1.0929e+00 +4.2916e-01 -2.8555e+00 -9.2319e-01
26 +1.614085103e+08 +1.614085103e+08 +1.614078892e+08 +1.614078892e+08 +1.8606e+00 +1.9441e+00 -2.7256e+00 -3.8834e+00 +1.7506e-02 +4.1292e-01 -7.5032e-01 -9.7419e-01 -2.0095e+00 -2.2006e-01 -1.9233e+00 +1.8386e+00 +2.3313e+00 +2.1030e-03 -1.1148e+00 -1.5802e+00 +1.9167e+00 +7.0298e-01 -2.6435e+00 -2.0869e+00
38 +1.435606628e+08 +1.435606628e+08 +1.435600417e+08 +1.435600417e+08 +6.3101e-01 +1.2468e+00 -1.8241e+00 -2.2814e+00 -1.3684e+00 -8.6253e-01 -7.0165e-02 -6.8617e-01 -1.6532e+00 +4.6981e-02 -9.7528e-01 +4.8886e-01 +1.9451e+00 -4.3790e-01 +2.5923e-01 -2.3290e+00 +8.7825e-01 +1.7219e+00 -3.1072e+00 -1.9569e+00
44 +1.295288866e+08 +1.295288866e+08 +1.295282655e+08 +1.295282655e+08 +6.4494e-01 +1.2943e+00 -3.1187e+00 -3.2191e+00 -1.4073e+00 +1.2847e-01 -2.0439e+00 -2.0115e+00 -1.6921e+00 -3.7428e-01 -2.0413e+00 +2.4577e+00 +2.4791e+00 +8.6474e-01 +4.1362e-01 -2.3645e+00 +1.0955e+00 +1.8051e+00 -2.4687e+00 -2.3898e+00
46 +6.221070793e+07 +6.221070793e+07 +6.221008682e+07 +6.221008682e+07 +2.6060e-01 +1.4378e+00 -1.6066e+00 -4.1316e+00 -1.3062e+00 -1.8280e+00 +1.3408e+00 +1.8958e-01 +5.2285e-01 +9.0379e-01 -1.6952e+00 -2.3950e-01 +1.9494e+00 -1.3941e+00 +1.1441e+00 -9.6591e-01 +6.5057e-01 +1.2929e+00 -1.2637e+00 -1.3567e+00
68 +4.218900822e+07 +4.218900822e+07 +4.218838711e+07 +4.218838711e+07 -1.8256e+00 +3.3824e+00 +1.1608e+00 -3.7910e+00 -7.6763e-01 -2.0735e+00 +2.0153e+00 +7.1527e-01 +6.3702e-01 +6.5923e-01 -2.6573e+00 -3.3440e-01 +1.7981e+00 -7.2515e-01 +1.7779e+00 -8.1935e-01 +2.1232e+00 +2.2519e+00 +1.0577e+00 +9.2311e-02
141 +4.146531974e+07 +4.146531974e+07 +4.146469863e+07 +4.146469863e+07 -3.2490e+00 +3.2499e+00 -1.8994e-01 -3.6901e+00 +1.6245e+00 -1.0694e+00 +7.5442e-01 +8.0616e-01 +2.8915e-01 +2.0859e+00 +2.8485e+00 -4.7153e-01 +3.6591e+00 -1.9144e-01 +3.7684e+00 -1.1512e+00 +1.3650e+00 +1.4616e+00 +2.1137e+00 +3.3307e-01
225 +3.667420437e+07 +3.667420437e+07 +3.667358326e+07 +3.667358326e+07 -2.7550e+00 +3.7400e+00 -2.9497e-01 -2.2364e+00 -1.4385e+00 -1.3771e+00 +3.2439e+00 -3.6858e-02 +1.7342e+00 +1.3390e+00 -6.0573e-01 +2.3163e+00 +3.8400e+00 +6.9420e-01 +9.6286e-01 -2.0443e+00 +6.3986e-01 +1.5049e+00 +3.8808e+00 +5.8029e-01
243 +3.156451897e+07 +3.156451897e+07 +3.156389786e+07 +3.156389786e+07 -1.5567e+00 +4.4810e+00 +5.1409e-01 -2.8138e+00 -9.5575e-01 -1.5433e+00 +3.1541e+00 -6.2177e-01 +1.1527e-01 +1.1581e+00 -1.4702e+00 +8.9276e-01 +3.9364e+00 +1.1762e+00 +2.3655e+00 -3.4800e+00 +4.9873e-01 +2.4003e+00 +4.8951e+00 +8.5093e-01
298 +3.025935299e+07 +3.025935299e+07 +3.025873188e+07 +3.025873188e+07 -2.3644e+00 +2.4288e+00 +7.3121e-01 -3.1743e+00 -1.8849e-01 -1.9705e+00 +5.5323e-01 +1.6936e+00 +1.8944e+00 -4.5744e-01 +1.2181e+00 +8.0495e-01 +3.5406e+00 -3.2556e-01 +4.5696e+00 -3.7923e+00 +4.2928e-01 +1.5565e+00 +1.9726e+00 -6.0003e-01
