% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+02 +6.423771670e+02 +1.642377167e+03 +1.642377167e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +5.633252940e+02 +5.633252940e+02 +1.563325294e+03 +1.563325294e+03 -1.0018e+00 +1.8246e+00 -4.4574e-01 -1.7758e+00 +4.4052e-01 -1.0831e+00 +1.0541e+00 +3.1338e-01 -1.2263e+00 -9.7063e-01 +1.4777e+00 +3.2391e-01 -6.9686e-01 -8.1076e-01 -4.0122e-01 +1.0729e+00 +1.1435e+00 +4.9199e-01 +2.1884e+00 +8.5885e-01
13 +5.152844445e+02 +5.152844445e+02 +1.515284445e+03 +1.515284445e+03 -2.8204e+00 +1.8453e+00 -1.9020e+00 -2.3844e-01 +2.0046e-01 -7.9240e-01 -5.1471e-01 -1.1821e-01 -1.5727e+00 -5.5937e-01 +1.5629e+00 -2.7425e-02 -2.2112e+00 -1.9169e+00 +2.5991e-01 +2.8193e+00 +1.4503e-01 +1.6028e-01 +6.6986e-01 +2.1982e-01
23 +3.575880515e+02 +3.575880515e+02 +1.357588052e+03 +1.357588052e+03 -1.3046e+00 +1.2882e+00 -1.1376e+00 +2.6558e+00 +8.0999e-01 -1.7350e+00 +3.7113e-01 +4.9289e-01 -1.6051e+00 +1.4354e+00 +9.5264e-01 -4.9099e-01 -3.3224e-01 -1.8213e+00 -5.0801e-01 +2.4970e+00 +1.3504e+00 -1.3599e+00 -1.1692e-01 +1.7421e+00
89 +3.012027882e+02 +3.012027882e+02 +1.301202788e+03 +1.301202788e+03 -1.1801e+00 +3.4040e-01 +1.3108e+00 +3.8446e+00 +3.0451e+00 -2.1831e+00 -1.5194e+00 +2.4684e+00 -1.1904e+00 +9.8420e-01 -1.1637e+00 -2.4522e+00 -4.5116e-01 -3.0605e+00 -9.3212e-02 +3.8515e+00 +3.4587e+00 -1.2181e+00 -6.9498e-01 -2.5468e-01
95 +2.412399471e+02 +2.412399471e+02 +1.241239947e+03 +1.241239947e+03 -1.3747e-01 +1.8096e+00 +1.1103e+00 +3.2517e+00 +2.8080e+00 -2.2330e+00 -1.4503e+00 +1.4262e+00 -1.3993e+00 +9.2450e-01 -7.2030e-01 -6.8148e-01 +3.2646e-01 -2.8992e+00 +1.1322e+00 +3.7135e+00 +3.4499e+00 -1.3929e+00 -2.7422e-01 +1.6370e+00
576 +1.861534015e+02 +1.861534015e+02 +1.186153402e+03 +1.186153402e+03 -1.9024e+00 +2.2061e+00 +5.8731e+00 +5.1726e+00 +3.7055e+00 -1.6352e+00 -2.8963e+00 -8.6395e-01 +5.4970e-01 +2.5013e-01 -2.1615e+00 -8.3100e-01 -5.5980e-01 -3.7022e+00 +3.9139e+00 +2.5109e+00 +2.7713e+00 -2.6884e+00 -2.3558e+00 +7.4780e-01
4506 +1.743626211e+02 +1.743626211e+02 +1.174362621e+03 +1.174362621e+03 -1.9943e+00 +2.8523e+00 +3.0531e+00 +3.6037e+00 +2.7786e+00 -2.8941e+00 -1.3515e+00 -1.3605e+00 -2.1864e+00 +2.7922e-01 -1.1415e+00 -1.4854e+00 -1.6436e+00 -3.0169e+00 +2.9665e-01 +5.0821e+00 +3.1780e+00 -7.9272e-01 -2.2601e-01 +7.2365e-02
4727 +1.734514674e+02 +1.734514674e+02 +1.173451467e+03 +1.173451467e+03 -1.9728e+00 +2.8126e+00 +3.8942e+00 +2.3965e+00 +3.2158e+00 -3.6021e+00 -2.8353e+00 -3.6469e-01 -2.6918e+00 -2.3487e-01 -2.9131e+00 -5.3377e-01 -3.1813e+00 -2.7797e+00 +3.1695e+00 +3.2187e+00 +4.6559e+00 +8.7091e-02 -1.9856e+00 +1.0177e+00
4894 +1.649905977e+02 +1.649905977e+02 +1.164990598e+03 +1.164990598e+03 -2.4871e+00 +2.2447e+00 +5.2685e-01 +4.0843e+00 +3.3599e+00 -2.3587e+00 -2.0846e+00 +6.7685e-01 -5.4395e-01 -3.3318e-01 -1.8004e+00 -1.9298e+00 -1.5255e+00 -1.1359e+00 +2.5979e+00 +4.2169e+00 +4.0355e+00 -9.9307e-01 -2.6204e+00 +1.8339e+00
