% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.743465359e+05 +7.743465359e+05 +7.743824359e+05 +7.743824359e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +6.876973883e+05 +6.876973883e+05 +6.877332883e+05 +6.877332883e+05 -7.8728e-01 -1.2589e-01 -3.2696e-01 -4.5849e-01 -6.4145e-01 -2.0942e+00 +1.1606e+00 -5.3538e-01 -8.2651e-01 -2.3482e-01 +2.1992e+00 +5.7966e-02 +7.1976e-01 +1.9710e+00 -2.6105e+00 -8.4605e-01 +6.6837e-01 -5.4662e-02 -6.7431e-01 -1.4951e+00
15 +4.967998614e+05 +4.967998614e+05 +4.968357614e+05 +4.968357614e+05 +1.4642e-01 -3.6200e-01 +1.6771e+00 +1.8391e-01 -1.6162e-01 -2.9693e+00 +2.0119e+00 -1.3488e+00 -1.4481e+00 +2.9911e-01 +1.5265e+00 +4.5244e-01 +1.3942e+00 +2.2958e+00 -2.8733e+00 -1.7165e+00 +1.0041e+00 +9.5022e-01 -1.6320e+00 -1.0166e+00
22 +4.702417958e+05 +4.702417958e+05 +4.702776958e+05 +4.702776958e+05 -3.7922e-01 +3.7903e-01 +1.3690e+00 -1.6206e-01 -3.2891e-01 -2.2270e+00 +5.9733e-01 -1.0430e+00 -6.9223e-01 +9.8552e-01 +1.3725e+00 -4.7612e-01 +1.9482e+00 +3.1408e+00 -1.2352e+00 -3.3689e+00 +8.6749e-01 +4.4287e-01 -2.6643e+00 +6.7230e-03
25 +3.808999958e+05 +3.808999958e+05 +3.809358958e+05 +3.809358958e+05 +2.2995e+00 -1.1919e-01 +2.0774e+00 +4.9790e-02 -5.6686e-01 -5.2702e+00 +3.0524e-01 -2.2706e+00 -7.8664e-01 +8.0049e-01 +1.6560e+00 +4.2722e-02 +1.0005e+00 +2.2981e+00 -2.6415e+00 -1.3471e+00 +6.1020e-01 +1.1236e+00 -8.8531e-01 -1.1803e+00
33 +3.483403603e+05 +3.483403603e+05 +3.483762603e+05 +3.483762603e+05 +1.2017e+00 -1.7513e-01 +1.8926e+00 -5.9152e-01 -2.0648e+00 -6.1652e+00 +1.0797e+00 -1.7598e+00 +6.9999e-01 +9.3559e-01 +3.1094e+00 +2.7280e-01 +1.7307e+00 +2.8015e+00 -3.4884e+00 -1.4193e+00 +2.3503e-01 +1.8691e+00 -2.7454e+00 -2.0033e+00
42 +3.192330610e+05 +3.192330610e+05 +3.192689610e+05 +3.192689610e+05 +1.1300e+00 -5.0656e-01 +2.9308e+00 -1.0338e+00 -6.8238e-01 -6.0183e+00 +7.5289e-01 -3.1950e+00 +1.0298e+00 +6.6871e-01 +3.2912e+00 +1.6677e+00 +1.9821e+00 +2.5757e+00 -4.2535e+00 -2.0648e+00 -9.4776e-02 +2.1164e+00 -3.7744e+00 -1.9480e+00
52 +2.973519350e+05 +2.973519350e+05 +2.973878350e+05 +2.973878350e+05 +1.6970e+00 +1.4191e+00 +2.4477e+00 -1.2843e+00 -2.0802e-02 -6.8294e+00 +1.6622e+00 -2.3758e+00 +4.3407e-01 +4.5397e-01 +1.1469e+00 -1.5540e-01 +1.8399e+00 +2.6223e+00 -3.8901e+00 -1.7561e+00 -1.0104e+00 +1.6713e+00 -4.5906e+00 -2.1265e+00
78 +2.877499481e+05 +2.877499481e+05 +2.877858481e+05 +2.877858481e+05 +1.6973e+00 +8.2444e-01 +1.2131e+00 +1.7277e-01 -5.4432e-01 -9.2307e+00 +3.5167e+00 -3.7358e+00 +1.2789e+00 +2.1615e+00 +1.2724e+00 +3.4651e-01 +6.9923e-01 +3.3487e+00 -2.7789e+00 -1.5224e+00 -1.0301e+00 +3.5469e+00 -4.5146e+00 -2.1544e+00
79 +2.572568214e+05 +2.572568214e+05 +2.572927214e+05 +2.572927214e+05 +1.1880e+00 +2.4584e+00 +2.4037e+00 +5.5646e-01 +3.4331e-01 -9.8628e+00 +3.3802e+00 -5.0785e+00 +2.4447e-01 +2.8562e+00 -1.3009e-01 -6.0006e-01 +7.5547e-01 +1.3459e+00 -1.0728e+00 -1.2712e+00 -2.1829e+00 +3.7548e+00 -2.3540e+00 -4.7020e+00
97 +1.900946264e+05 +1.900946264e+05 +1.901305264e+05 +1.901305264e+05 -9.5010e-01 +2.6804e+00 +3.4684e+00 +3.3850e+00 +9.5121e-01 -1.1986e+01 +3.2391e+00 -4.8119e+00 +3.2219e+00 -2.6721e-01 +3.5465e-01 -3.1417e+00 +3.1752e+00 -7.4874e-01 -2.6049e+00 -2.3934e+00 -2.2557e+00 +4.2286e+00 -1.7091e+00 -5.1835e+00
102 +1.628974356e+05 +1.628974356e+05 +1.629333356e+05 +1.629333356e+05 -2.2280e-01 +3.5003e+00 +2.1621e+00 +3.2972e+00 -7.8032e-01 -1.2483e+01 +3.1583e+00 -5.4045e+00 +2.8033e+00 -9.2035e-01 -2.4660e-01 -1.3930e+00 +2.9782e+00 -1.4306e+00 -2.1380e+00 -2.4364e+00 -1.5862e+00 +4.7743e+00 -1.0021e+00 -7.8900e+00
103 +8.915335684e+04 +8.915335684e+04 +8.918925684e+04 +8.918925684e+04 -9.1766e-01 +3.4970e+00 +5.1682e+00 +4.4078e+00 +1.6999e+00 -1.1538e+01 +3.1401e+00 -5.2135e+00 +2.3325e+00 -1.8004e+00 -8.2614e-01 -3.6785e+00 +2.1265e+00 -8.3463e-01 -3.4613e+00 -4.0123e+00 -1.3623e+00 +6.5375e+00 -1.7239e+00 -5.4843e+00
